SL.No,Ass.No,Subject,Author,Column1,Material,Script,Size,No.Folios,Sub,No. of lines in Pages,No.of letter per line ,Extent,Condition,Additional In fo
6397,1515,"??????
bh?gavata?",,Purana,PL,Tu,26.5x5,1 To 9,Purana,9,26,Inc.,GO ,
6398,1516,"?????? ??????
?gv?da sa?hit?",,Samhita,PL,TU,39x6,50Folios,Samhita,10,48,Inc.,OD,""""
6399,1517,"????????? ????
ana?tavrata? kalpa",,Vrata,PL,Tu,15.5x5,9Folios,Vrata,10,15,Inc. ,O,
6400,1518,"???????? ????
subh??it? ?ataka?",,Subhashita,PL,TU,26.5x3.5,6folios,Subhashita,8,25,Inc. ,OD,
6401,1519,"??????????????????????
sad??iva???ttarast?tra?",,Stotra,PL,TU,23x6,13 To 21,Stotra,12,22,Inc.,OD,
6402,1520,"??????? ??????
muh?rta d?pik?",Vishnu Sarma,Jautisha,PL,TU,31x4,18 To 28,Jautisha,7,32,Inc.,ODW,
6403,1521,"??????? ???????
?r?ddha pray?ga?",, G- Prayoga   ,PL,Tu,20x5,8Leaves, G- Prayoga   ,8,21,Inc,ODW,
6404,1522,"?????? ?????
nai?adh?ya carita?",Sri Harsa,Kavya,PL,TU,19.5x5.5,3 To 20,Kavya,11,28,Inc.,ODW ,
6405,1523,"?????? ????????????
s?mav?ra vrat?dy?pana?",,Vrata,PL,TU,25x5,5Folios,Vrata,10,45,Inc.,OD,
6406,1524,"??????????
ma?ga????aka?",,Stotra,PL,TU,23x4,8Folios,Stotra,9,35,Inc.,OD,
6407,1525,"???????
vimal?gama",,Shaivagama,PL,N.Na,26x3.5,46Folios,Shaivagama,4,42,Inc.,OD,
6408,1526,"??? ???????
apara pray?ga?",, G- Prayoga   ,PL,Tu,25x5x3.5,53Folios, G- Prayoga   ,6,27,Inc. ,ODW,
6409,1527,"??????? ???????
?gr?ya?a pray?ga?",, G- Prayoga   ,PL,TU,37x3,37Folios, G- Prayoga   ,8,50,Inc. ,ODW,
6410,1528,"????? ?????
bhagavat? ma?tra",,Tantra Mantragama,PL,TU,17.5x4.5,9Folios,Tantra Mantragama,7,22,Inc.,ODW,
6411,1529,"???? ????? ???????????? ?????
ga???a pr??a prati??h?pan? ma?tra",,Tantra Mantragama,PL,TU,26x5.5,260 To 264,Tantra Mantragama,11,32,Inc. ,GO,
6412,1530,"??????? ???
nak?atra ?la?",,Jautisha,PL,TU,14.5x5,9,Jautisha,8,18,Inc.,ODW ,
6413,1531,"?????? ???? ?????
v?stu p?j? vidhi?",,Shilpa,PL,TU,17x6,4Folios,Shilpa,9,21,Inc.,OD,
6414,1532,"????? ??????????
vai??kha m?h?tmya?",,Purana,PL,Tu,34x5,9,Purana,11,60,Inc.,ODW,""""
6415,1533,"???????
r?m?ya?a?",,Itihasa,PL,Tu,32.5x5,9Folios,Itihasa,10,50,Inc ,OD,
6416,1534,"?????????
bhagavadg?t?",,Gita,PL,Tu,11x4.5,9Folios,Gita,12,17,Inc.,O ,
6417,1535,"???? ??????
j?taka paddhati",,Jautisha,PL,TU,38x5.5,7Folios,Jautisha,11,62,Inc. ,ODW,
6418,1536,"?????????????? ????????
vi??usahasran?ma st?tra?",,Stotra,PL,TU,37x6,14Folios,Stotra,8,55,Inc.,ODW ,
6419,1537,"?????? ???????
vararuci v?kyam",Varatuchi,Shaivagama,PL,TU,34x5.5 ,151 To 158,Shaivagama,10,46,Inc.,ODW,
6420,1538,"??????? ????? ?????
jagattina bha??ara karav?ra",,General,PL,Tu,21x5,14 To 19,General,14,38,Inc.,OD,
6421,1539,"????? ???? ???????
kanna?a padya sa?graha?",,General,PL,Tu,36x4.5,13folios,General,7,60,Inc.,ODW,
6422,1540,"????? ???? ???
sta?bha vrata kath?",,Vrata-Katha,PL,TU,19x5,5Folios,Vrata-Katha,9,30,Inc.,OD,
6423,1541,"???? ??????? ????
janma patrik? l?khana",,Jautisha,PL,TU,20x4.5,8,Jautisha,9,25,Inc.,OD ,Saka-1684 Year-1764
6424,1542,"???????
r?m?ya?a?",,Itihasa,PL,Tu,47x5,1 To 100,Itihasa,10,75,Inc,O,"From : Sundara kanda, IxIV Sarga"
6425,1543/1,"??????????????? ????????
n?mali?g?nu??sana? vy?khy?",,Nighantu,PL,Tu,41x5.5,1 To 139,Nighantu,10,56,C,OD,"Script : tulu, "
6426,1543/2,"?????? ????
bilha?a n??aka",Billahana,Kavya,PL,TU,41x5.5,140 To 147,Kavya,10,56,C,G,
6427,1545/1,"??????? ????
?r?ga?eya m???",,General,PL,TU,28x5,1 To 2,General,11,20,C,O,"Script: Tulu, Languge: Kannada"
6428,1545/10,"??????? ????? ???
anarasi?ga suramada bha?ga",,General,PL,TU,28x5,20,General,10,20,C,GO,
6429,1545/11,"???? ???? ????
enage n?ne ba?dhu",,General,PL,TU,28x5,20,General,10,20,C ,O,
6430,1545/12,"?????? ?????
nadiyanu d??ida",,General,PL,TU,28x5,21 To 22,General,10,20,C,G ,""""
6431,1545/13,"???? ???????
s?ku sad?garva",,General,PL,TU,28x5,22 To 23,General,10,20,C,GO,
6432,1545/14,"??????? ????? ???? ???
ara?agiri yar?yu ?lasu ?ara?a",,General,PL,TU,28x5,23 To 24,General,10,20,C,OD,
6433,1545/15,"???????? ????????
ra?gan?thani nilaga?gani",,General,PL,TU,28x5,1 To 23,General,10,20,C,G,
6434,1545/16,"????? ???????????
iru?u l?kadolev?gi",,General,PL,TU,28x5,23 To 24,General,10,20,C ,GO,
6435,1545/17,"??? ?????????? ?????
nahi pratiye?du ninna",,General,PL,TU,28x5,24 To 25,General,10,20,C ,O,
6436,1545/18,"????????? ?????
hasuji?bina toradala",,General,PL,TU,28x5,25 To 26,General,10,20,C ,G,
6437,1545/19,"????????? ??????
ga??anillada he?gasu",,General,PL,TU,28x5,26 To 27,General,10,20,C ,G,
6438,1545/2,"??????? ???? ????
na?bipade v?ru hitava",Ananda Tirtha,General,PL,TU,28x5,4 To 5,General,11,20,C,O,"Script: Tulu, Language: Kannada"
6439,1545/20,"??????? ??????
suttal? k??enu",,General,PL,TU,28x5,27 To 28,General,10,20,C,GO,
6440,1545/21,"???????? ??????
madhvamuni r?ya??a",,General,PL,TU,28x5,28,General,10,20,C,G,
6441,1545/22,"??? ??? ????? ???????
sakala gu?a pur??a nikhilagama",,General,PL,TU,28x5,28,General,10,20,C,GO,
6442,1545/23,"?????? ????????
l?kap?la muktaj?la",,General,PL,TU,28x5,28 To 29,General,10,20,C ,G,
6443,1545/24,"???????
d?varad?va",,General,PL,TU,28x5,30 To 33,General,10,20,C,GO,
6444,1545/25,"????? ????????
maruda?a madhvamuni",,General,P,Marati,28x5,33 To 34,General,10,20,C ,GO,
6445,1545/26,"???????????
uppava?isayya",,General,PL,TU,28x5,34 To 36,General,10,20,C,G ,
6446,1545/27,"?????? ???? ??????
p?him? guru p?him?",,General,PL,TU,28x5,36,General,10,20,C ,G,
6447,1545/28,"??????? ?????? ?????
p?him?? vi??u t?rtha",,General,PL,TU,28x5,36 To 37,General,10,20,C ,G,
6448,1545/29,"??????????????? ????
ka?ega??i?dy?ke n??i",,General,PL,TU,28x5,37 To 38,General,10,20,C ,G,
6449,1545/3,"??????? ????
?r?ga?eya m???",,General,PL,TU,28x5,8,General,11,20,Ine,O,
6450,1545/30,"????????
tanuv?nira",,General,PL,TU,28x5,38 To 39,General,10,20,C,G,
6451,1545/31,"??? ???
d?ha g?ha",,General,PL,TU,28x5,39 To 40,General,10,20,C,G,
6452,1545/32,"????? ??????? ?????
sul?da t?laduhi elli",,General,PL,TU,28x5,40 To 42,General,10,20,C ,G,
6453,1545/33,"?????? ????????
tanavey? s?rasu??a",,General,PL,TU,28x5,42x44,General,10,20,C,G,
6454,1545/34,"????????????
v?dir?j?kti",,General,PL,TU,28x5,44 To 47,General,10,20,C,G,
6455,1545/35,"???? ??????? ????
na?bi ke??avara k??e",,General,PL,TU,28x5,48 To 49,General,9,20,C ,G,""""
6456,1545/36,"???????????? ????????
v?dir?j?v?di m?g??dra",,General,PL,TU,28x5,49,General,9,20,C,O,
6457,1545/37,"? ????? ??????
ya namisu sadgu?a",,General,PL,TU,28x5,49 To 50,General,9,20,C,G,
6458,1545/38,"????????????
madamatsarava?idu",,General,PL,TU,28x5,51 To 52,General,9,20,C ,G,
6459,1545/39,"????? ???
hasuga?a karava",,General,PL,TU,28x5,52 To 53,General,9,20,C,G,
6460,1545/4,"?????????  ????
t?ludhruva  ??bhana",,General,PL,TU,28x5,58 To 60,General,9,20,C ,G,"Scribe: Tulu, Language: Kannada"
6461,1545/40,"??????????
vi?h?daha?k?ra",,General,PL,TU,28x5,53 To 54,General,9,20,C,G,
6462,1545/41,"???? ????
pinu mayavada",,General,PL,TU,28x5,54x56,General,9,20,C ,G,
6463,1545/42,"????????? ?????
pomma??ana hakiy?",,General,PL,TU,28x5,56 To 58,General,9,20,C ,G,
6464,1545/43,"????????? ?????
t?ye?bene ninna",,General,PL,TU,28x5,10,General,11,20,C,G ,
6465,1545/44,"??????? ????
suranadiya p?dada",,General,PL,TU,28x5,60,General,9,60,C ,G,
6466,1545/45,"????? ???????????
ninna n?madh?riy?gi",,General,PL,TU,28x5,60 To 61,General,9,20,C ,G,
6467,1545/46,"??? ????????
t?ra malligeya",,General,PL,TU,28x5,61 To 62,General,9,20,C,G,
6468,1545/47,"???????? ???????? ?????
hejjege hejjege s?vira",,General,PL,TU,28x5,62 To 63,General,9,20,C ,G,
6469,1545/48,"????? ???????
pu?ya k??iyiva",,General,PL,TU,28x5,63 To 64,General,9,20,C,GO,
6470,1545/49,"???? ?????? ???
vapuva manu?ya d?ha",,General,PL,TU,28x5,64 To 65,General,9,20,C ,G,
6471,1545/5,"???????? ????
dharisidal? d?v?",,General,PL,TU,28x5,10 To 14,General,11,20,C,G,
6472,1545/50,"????? ???? ???
iru?u hagalu ka?u",,General,PL,TU,28x5,65 To 68,General,9,20,Ine ,OD,
6473,1545/51,"????? ????? ?????
h?jage h?jage s?vira",,General,PL,TU,28x5,68 To 69,General,9,20,C ,G,
6474,1545/52,"??????? ???
bh?vave?ba ja?e",,General,PL,TU,28x5,69,General,9,20,Ine,O,
6475,1545/53,"???? ??? ???????
ma?gala v?da v?y?nari",,General,PL,TU,28x5,69 To 70,General,9,60,C ,OD,
6476,1545/54,"??? ????? ?????
hari ninna jñ?na",,General,PL,TU,28x5,70,General,9,20,Ine,OD,
6477,1545/55,"??? ?????? ???????
rama?a surariga m?taha?ida",,General,PL,TU,28x5,70 To 71,General,9,20,C,O,
6478,1545/56,"??? ?????? ???
hari h?rig? bhay?",,General,PL,TU,28x5,71 To 72,General,9,20,C ,G,
6479,1545/57,"??????? ??????
?r?dhaneya nira?jana",,General,PL,TU,28x5,72 To 73,General,8,20,C ,O,
6480,1545/58,"??? ????????
mauna gauriy?gi",,General,PL,TU,28x5,73 To 74,General,9,20,C,GO,
6481,1545/59,"????? ??
ma?gala? jaya",,General,PL,TU,28x5,3folios,General,9,20,Ine ,O,
6482,1545/6,"??????? ???????
v?dir?ja gurur?ya",,General,PL,TU,28x5,15x16,General,11,20,C ,O,
6483,1545/60,"????????? ??????
ba??is?lala bahuv??a",,General,PL,TU,28x5,1folios,General,9,20,Ine,O,
6484,1545/7,"?????? ??????????
namast? vimal?k?mal?",,General,PL,TU,28x5,16 To 18,General,11,20,C ,O,
6485,1545/8,"???? ???? ??????
na?bu na?bu n?r?ya?a",,General,PL,TU,28x5,18 To 19,General,11,20,C,G,""""
6486,1545/9,"??? ????????
?re b??uvenu",,General,PL,TU,28x5,19,General,10,20,C,OD,
6487,1548,"??????????????? ????
n?mali?g?nu??sana? ??k?",,Nighantu,PL,TU,32x4,1 To 169,Nighantu,9,50,Ine ,O,"Script: Tulu, Tika Kannada"
6488,1549/3,"?????? ?????
dv?da?a ma?jari",,Stotra,PL,TU,22x5.5,1 To 2,Stotra,8,30,C ,G,
6489,1549/5,"?????? ????
?ditya kavaca?",,Stotra,PL,TU,22x5.5,4,Stotra,8,30,C ,G,From: Padma Purana
6490,1550,"??????? ?????
bh?radhvaja ta?tra",???????,Tantra Mantragama,PL,TU,14x4,1 To 145,Tantra Mantragama,,,,,
6491,1551,"???????
r?m?ya?a?",???????,Itihasa,PL,Te,46x3,1 To 107,Itihasa,6,71,Inc.,O,Sundara kanda
6492,1552,"???????
r?m?ya?a?",???????,Itihasa,PL,Te,44x4,1 To 36,Itihasa,6,70,Inc.,G,""""
6493,1553/1,"???????? ???
gurug?t? s?ra",  Rasamatya,Gita,PL,Te,37.5x5,1 To 86,Gita,5,50,C,G,"Script : Telugu, Language : Telugu"
6494,1553/2,"????? ????????
bh?gavata vy?khy?",,Purana,PL,Te,37.5x5,1 To 76,Purana,6,55,Inc. ,GO,"Script : Telugu, Language : Telugu"
6495,1554,"??? ????????
vi?a cikits?",,Vaidya,PL,Te,18x3,1 To 46,Vaidya,7,30,Inc.,OD,
6496,1555,"???? ?????
?abda vivara?a",,General,PL,Te,36x3.5,2 To 11 To ,General,7,70,Inc.,ODW,No. of Folios missing
6497,1556,"??????? ???????
pu?y?ha pray?ga?",????????, G- Prayoga   ,PL,Te,23x3,21leaves, G- Prayoga   ,5,30,Inc.,ODW,
6498,1557,"????? ???????? ?????
s?rya prabh?vat? ras?yana",,Vaidya,PL,Te,29x5.5,1 To 17,Vaidya,10,40,C `,GO,
6499,1558/1,"???????? ????
?ata?l?ki ??k?",,Vaidya,PL,Te,37x3.5,1 To 36,Vaidya,6,50,C,GO ,Tika Telugu
6500,1558/2,"???? ????????
b?vu vra?a?ga?u",,Vaidya,PL,Te,37x3.5,37 To 59,Vaidya,6,50,C ,GO,
6501,1559,"?????? ?????
???g?ra darpa?a",Kesava,Kamashastra,PL,Te,44x3.5,1 To 82,Kamashastra,5,80,Ine ,OD,
6502,1560/1,"???? ???????
da??aka kar?ik?",,Stotra,PL,Te,16x3.5,1 To 5,Stotra,5,28,C,G,
6503,1560/7,"?????? ???? ???? ???????
vai??ava m?t? vivara ??stra",,Vishistadvaita,PL,Te,16x3.5,18 To 32,Vishistadvaita,6,28,C,G,
6504,1561,"????? ????
sumati padya",,Vishistadvaita,PL,Te,19x3.5,1 To 15,Vishistadvaita,5,25,Ine,G,
6505,1562,"?????? ???
yadukula kath?",,Vishistadvaita,PL,Te,19.5x3,1 To 22,Vishistadvaita,5,30,Ine,O,
6506,1563/1,"??????????????? ????????
n?mali?g?nu??sana? vy?khy?",,Nighantu,PL,Te,17x3.5,1 To 13,Nighantu,4,25,Ine,O,
6507,1563/2,"??????? ???
a?agayyana kath?",,General,PL,Te,17x3.5,1 To 11,General,6,25,Ine ,G,
6508,1565,"????? ???????
vaidya sa?graha?",,Vaidya,PL,Te,15x2.5,1 To 110,Vaidya,5,25,C,G,
6509,1566,"??? ??? ?????
108 m??a ma?tra",,Tantra Mantragama,PL,Te,22.5x3,12Folios,Tantra Mantragama,,,,,
6510,1567/1,"???? ???????? ????????
dar?a p?r?am?sa vy?khy?",, G- Prayoga   ,PL,Te ,44.5x3,1 To 114, G- Prayoga   ,6,70,C,OD.,
6511,1567/2,"???????? ??? ???????
k??m???a h?ma pray?ga?",, G- Prayoga   ,PL,Te ,44.5x3,115 To 119, G- Prayoga   ,6,70,C,G.,
6512,1567/3,"?????????? ?????? ?????
madhy?hnika sa?dhy? vidhi?",, G- Prayoga   ,PL,Te,44.5x3,119 To 126, G- Prayoga   ,6,70,C,Go.,
6513,1567/4,"?????? ?????
b?dh?yana k?rika",, G- Prayoga   ,PL,Te,44.5x3,127 To 129, G- Prayoga   ,6 to,10,C,G.,
6514,1567/5,"????? ?????
ga?ah?ma k?rika",, G- Prayoga   ,PL,Te.,44.5x3 ,129 To 1, G- Prayoga   ,6,70,C,G.,
6515,1567/6,"???????? ????
pi??apit? yajña",, G- Prayoga   ,PL,Te.,44.5x3 ,130 To 133, G- Prayoga   ,6,10,C,Go.,
6516,1568,"??????? ???????
pit?m?dha pray?ga?",??????? ????, G- Prayoga   ,PL,Te.,50x4.5,1 To 150, G- Prayoga   ,7,60,C,ODW,
6517,1569,"??? ???????
vacana r?m?ya?a?",Shidgam ,Itihasa,PL,TE,44.5x3.5 ,1 To 163,Itihasa,5,50,Ine,ODW,"Script-Kannada, Languge-Telugu"
6518,1570,"??????????? ???????
?rautapray?ga sa?graha?",,Grahyasutra,PL,Te,43x3,1 To 215,Grahyasutra,7,70,Inc.,ODW.,
6519,1571,"????????
?ivarahasya",Vyasa,Purana,PL,Te,48x4,1 To 238,Purana,7,80,Ine,OD ,From: Skanda Purana
6520,1572,"???????
r?m?ya?a?",Ranganathah,Itihasa,PL,Te,41.5x5,1 To 243,Itihasa,7,70,C,Go,"Script: Telugu, Language-Telugu"
6521,1573,"????????? ??????
?ivatattva nir?aya",Appaiah Dixita,shaiva,PL,Te,44X3,1 To 107,shaiva,6,80,C,ODW,
6522,1574,"??????????
kal???stra",Sajjana Videya,Kamashastra,PL,Te,46x4,1 To 110,Kamashastra,6,65,40C ,ODW,"Telugu Script, Telugu Language"
6523,1575,"???? ??????????
d?v? m?h?tmya?",Vyasa,Purana,PL,Te,20.5x3.5,1 To 74,Purana,6,25,C ,G,
6524,1576/2,"??????? ?????????????
dak?i?? m?rty???aka?",,Stotra,PL,Te,16.5x3,1 To 3,Stotra,6,25,C,G,
6525,1576/3,"????? ?????? ??????
ga?apati v?dap?da stavana?",Sankaracaryah,Stotra,PL,Te,16.5x3 ,3 To 4,Stotra,6,25,C,G,
6526,1576/5,"??? ?????? ?????
ga??ha b?ru??ha ma?tra",,Tantra Mantragama,PL,Te,16.5x3,21 To 24,Tantra Mantragama,,,,,
6527,1576/6,"????? ??????? ?????
?atru ucch??ana ma?tra",,Tantra Mantragama,PL ,Te,16.5x3,24 To 28,Tantra Mantragama,,,,,
6528,1576/7,"?????????? ????????
i?dr?k?i st?tra?",,Stotra,PL,Te,16.5x3,24 To 34,Stotra,6,25,C ,O,
6529,1576/8,"?????????? ???? ?????
i?dr?k?i m?l? ma?tra",,Tantra Mantragama,PL,Te,16.5x3,34 To 40,Tantra Mantragama,6,25,C,ODw,
6530,1577,"??? ???????
apara pray?ga?",, G- Prayoga   ,PL,Te,41x4,3 To 116, G- Prayoga   ,7,65,Inc.,OD.,
6531,1578,"???????? ???????
manus?tra pray?ga?",, G- Prayoga   ,PL,Te,38x5.5,1 To 49, G- Prayoga   ,9,60,C ,Go.,
6532,1579,"???????
r?m?ya?a?",Valmikih,Itihasa,PL,Te,27x5,10 To 215,Itihasa,10,55,Ine,G,
6533,1581,"???????
r?m?ya?a?",Tandri Vittalah,Itihasa,PL,Te,44.5x3.5,1 To 338,Itihasa,8,75,C,ODW,"Telugu- Script, Telugu Language"
6534,1582,"???????
r?m?ya?a?",,Itihasa,PL,Te,42x5,5 To 29,Itihasa,11,80,Ine,ODW,""""
6535,1583/1,"??????????
b?lar?m?ya?a?",,Itihasa,PL,Te,18x3,1 To 13,Itihasa,6,35,Ine,ODW,
6536,1583/2,"??????? ???????
mah?bh?rata sa?graha?",,Itihasa,PL,Te,18x3,16 To 27,Itihasa,6,35,Ine ,ODW,
6537,1584,"?????? ???
r?jay?ga s?ra",,Yoga,PL,Te,18.5x3,1 To 45,Yoga,6,25,Ine,ODW,
6538,1585,"???? ???
?c?ra s?ra",,Tantra Mantragama,PL,Te,42x3.5,13 To 94,Tantra Mantragama,13&94,6,70,Ine,ODW
6539,1602,"????? ???????
p?rva pray?ga?",, G- Prayoga   ,PL,Kan.,40x5,1 To 46, G- Prayoga   ,7,60,Inc.,G.,
6540,1603,"???????
r?m?ya?a?",,Itihasa,PL,Kan,49x5.5,1 To 244,Itihasa,9,75,Ine,O,"Script: Kannada, Languge-Samskrt"
6541,1604,"??????? ??????
??stra d?pik?",ParthaSarathi Mishra,Yoga,PL,Kan,42x5,1 To 186,Yoga,9,65,C,O,
6542,1605,"???????????? ????????????
pr?ya?citta tattvav?tti",,Grahyasutra,TU,""" ",24x4.5,1 To 130,Grahyasutra,8,40,C,O.,
6543,1606,"???????
r?m?ya?a?",,Itihasa,PL,Kan,49x5,1 To 284,Itihasa,10,100,Ine,ODW,BalaKanda - Sundara Kanda
6544,1607,"???????
r?m?ya?a?",,Itihasa,PL,Kan,48x4,112 To 388,Itihasa,9,95,Ine,ODW,Ayodhya to Sundara Kanda
6545,1608/1,"?????????????
pa?c?m?t?bhi??ka",,Shaivagama,PL,Kan,19.5x4,1 To 5,Shaivagama,6,30,C,GO,
6546,1608/2,"?????? ????
pavitra p?j?",, pooja,PL,Kan,19.5x4,5 To 22, pooja,6,30,C ,G,
6547,1608/3,"????????? ????
pa?cam?rti p?j?",, pooja,PL,Kan,19.5x4,23 To 28, pooja,6,30,C,G,
6548,1608/4,"??????? ?????? ?????
k?rtika s?mav?ra kalpa?",, pooja,PL,Kan,19.5x4,29 To 39, pooja,8,30,C,G,
6549,1609/1,"???????????????? ???
k?rtav?ry?rjuna kavaca",,Tantra Mantragama,PL,Kan,20x4.5,1 To 13,Tantra Mantragama,,,,,
6550,1609/3," ???????? ?????
 s?vitr? vrata?",,Vrata,PL,Kan.,20x4.5,36 To 40,Vrata,8,30,Inc.,GO,
6551,1612,"????????? ???????
vi?vakarma ??stra",,Shilpa,PL,Kan,18x4,1 To 27,Shilpa,6,25,C,G,
6552,1613,"??????? ?????
v?rabhadra ma?tra",,Tantra Mantragama,PL,Kan,23x5,10folios,Tantra Mantragama,,,,,
6553,1614,"????? ?????
puru?a s?kta",,Veda - Mantra,PL,Kan,12x3,2Folios,Veda - Mantra,6,16,Inc,O,
6554,1615,"?????? ????
durg? p?j?",, pooja,PL,Kan.,17x3.5,6Folios, pooja,5,20,Inc. ,OD,
6555,1617,"?????? ??????????
s?kti mukt?va?i?",Somaprabha,Subhashita,PL,Kan,21x5,1 To 10,Subhashita,11,35,C ,OD,
6556,1626,"???????
r?m?ya?a?",Somaprabha,Itihasa,PL,N. Na,37x5.5,1 To 74,Itihasa,10,58,Ine,ODW,Sundara Kanda
6557,1627/1,"?????? ????
r?m?ya?a tatva",Sri Brahmananda ,Itihasa,PL,N. Na,50x5.5,1 To 202,Itihasa,8,85,C,OD,
6558,1627/2,"????????????? ??????? ????????
dak?i??m?rti st?tra vy?khy?",,Stotra,PL,N. Na,50x5.5,1 To 8,Stotra,8,85,C,O,
6559,1627/3,"???????? ????????
guru?ataka? st?tra?",,Stotra,PL,N. Na,50x5.5,1 To 3,Stotra,8,85,C,O,
6560,1628,"?????? ??????
?gv?da sa?hit?",,Samhita,PL,N. Na,40x3.5,1 To 155,Samhita,6,55,Inc,ODW.,From V Astaka 
6561,1629,"??????? ??????????
vaiy?kara?a paribh???rtha",Vaidyanaytha sastri,Vyakarana,PL,N.Na,19.5x4.5 ,1 To 109,Vyakarana,8,30,C,O,
6562,1631/2,"???? ???
pi??a d?na",, G- Prayoga   ,PL,N.Na,24.5x5,1 To , G- Prayoga   ,9,38,Inc. ,O,
6563,1631/3,"?????? ???????
ala?k?ra sa?graha?",,Alankara,PL,N.Na,24.5x5,1 To 9,Alankara,9,38,Ine,O,
6564,1631/4,"???? ???
dh?tu p??ha",,Vyakarana,PL,N.Na,24.5x5,1 To 3,Vyakarana,9,38,Ine,OD,
6565,1632/1,"???????????????
???v?sy?pani?at",,Upanisat,PL,N.Na,26x5,1 To 1 To 1,Upanisat,11,40,C,G.,
6566,1632/10,"?????????????????
b?had?ra?yak?pani?at",,Upanisat,PL ,N.Na,26x5,37 To 49,Upanisat,11,40,C,G.,
6567,1632/12,"?????????????
kaivaly?pani?at",,Upanisat,PL,N.Na,26x5,59 To 60,Upanisat,11,40,C,G.,
6568,1632/2,"??????????
k?n?pani?at",,Upanisat,PL,N. Na,26x5,1 To 1 To 2,Upanisat,11,40,C ,G.,
6569,1632/3,"?????????
ka?h?pani?at",,Upanisat,PL,N.Na,26x5,3 To 8 To 1,Upanisat,11,40,C,G.,
6570,1632/4,"?????????????
pra?n?pani?at",,Upanisat,PL ,N.Na,26x5,8 To 1 To 13,Upanisat,11,40,C,G.,
6571,1632/5,"????????????
mu??ak?pani?at",,Upanisat,PL,N.Na,26x5,13 To 16,Upanisat,11,40,C,G.,
6572,1632/6,"???????????????
m????ky?pani?at",,Upanisat,PL,N.Na,26x5,16 To 18,Upanisat,11,40,Inc.,G.,
6573,1632/7,"????????????
aitar?y?pani?at",,Upanisat,PL,N.Na,26x5,18 To 1 To 21,Upanisat,11,40,C,G.,
6574,1632/8,"????????????????
taittir?y?pani?at",,Upanisat,PL ,N.Na,26x5,22.3,Upanisat,11,40,Inc,ODW.,
6575,1632/9,"???????????????
ch??d?gy?pani?at",,Upanisat,PL,N.Na,26x5,31 To 36,Upanisat,11,40,C,G.,
6576,1633/1,"?????? ?????
citti s?kta",,Veda - Mantra,PL,N. Na,25.5x5,1 To 10,Veda - Mantra,8,35,Inc.,OD.,
6577,1633/2,"????????????????
taittir?y?pani?at",,Upanisat,PL ,N.Na,25.5x5,10 To 1 To 14,Upanisat,8,35,INC,O.D.,
6578,1633/3,"??????????????
k???ayajusa?hit?",,Samhita,PL,N.Na,25.5x5,14 To 1 To 46,Samhita,8,35,Inc.,ODW,
6579,1633/4,"??????? ???? ????????
g?yatr? h?daya st?tra?",,Stotra,PL,N. Na,25.5x5,1 To 10,Stotra,8,35,C,OD,
6580,1633/5,"?????????
bhagavadg?t?",,Gita,PL,N. Na,25.5x5,5folios,Gita,8,35,Ine,DW,
6581,1634,"?????? ???????
pray?ga p?rij?ta",, G- Prayoga   ,PL,N.Na,41x4,191 To 399, G- Prayoga   ,6,60,Inc. ,ODW,
6582,1636,"??????????????
k???ayajusa?hit?",,Samhita,PL,N.Na,34x5,1 To 35,Samhita,8,60,Inc,ODW,
6583,1638,"????????? ??????
bhagavadg?t? bh??ya?",Sankaracarya,Gita,PL,N. Na,26x6,1 To 202,Gita,10,35,C,G,
6584,1639/1,"????????? ????????
m?tyu?jaya m?nasap?j?",, pooja,PL,N.Na,27x5,1 To 4, pooja,7,56,C,OD,
6585,1639/2,"????????????
gaj??dram?k?a",,Purana,PL,N. Na,27x5,4 To 5,Purana,7,50,Ine,O,
6586,1639/3,"????? ??????? ?????
s?rya namask?ra vidhi?",, G- Prayoga   ,PL,N.Na,27x5,1 To 6, G- Prayoga   ,7,50,C,O,
6587,1639/4,"??????????????? (??????)
n?mali?g?nu??sana? (d?pik?)",Rama Vidusa,Nighantu,PL,N. Na,27x5,1 To 100,Nighantu,7,50,Ine,OD,
6588,1640/1,"????? ????? ????
kanna?a ak?ara m?le",,General,PL,N. Na,23x3.5,1 To 6,General,4,30,Ine ,OD,
6589,1641,"????? ???????
uttara r?m?ya?a?",Valmikih,Itihasa,PL,N. Na,48x5,1 To 79,Itihasa,8,90,Ine ,ODW,
6590,1642,"?????? ????
durg? p?j?",, pooja,PL,N.Na,27x4.5,1 To 17, pooja,6,32,C,OD,
6591,1651,"???? ??????????
d?v? m?h?tmya?",,Purana,PL,Mal,23x6,27Folios,Purana,11,30,Ine,OD,
6592,1651,"????????? ???????????? ????????
karmavip?ka pr?ya?citta sudh?nidhi",Sayanacarya,Vaidya,PL,Mal,18x3.5 ,1 To 95,Vaidya,8,28,C,G,
6593,1653,"??????????????
siddh??takaumudi",,Vyakarana,PL,Mal,30x5.5,14,Vyakarana,50,126folios,Ine,GO,
6594,1654,"???????????????
n?mali?g?nu??sana?",AmaraSimha,Nighantu,PL,Mal,17x4,1 To 127,Nighantu,1&127,9 28,C,G,
6595,1655,"???? ???? ?????
k??? p?j? vidhi?",,Tantra Mantragama,PL,Mal,18x4,150Folios,Tantra Mantragama,,,,,
