SL.No,Ass.No,Subject,Author,Column1,Material,Script,Size,No.Folios,Sub,No. of lines in Pages,No.of letter per line ,Extent,Condition,Additional In fo
4847,849/2,"??????? ?????
muh?rta darpa?a",Vidya Madhava,Jautisha,PL,TU,18x5,104 To 108,Jautisha,14,32,Inc.,G ,
4848,849/3,"??????? ????
?k?rgala cakra",,Jautisha,PL,TU,18x5,One,Jautisha,12,26,Inc. ,G,
4849,849/4,"?????? ?????
pa?c??ga vidhi?",Baskaracarya,Jautisha,PL,TU,18x5,1 To 4,Jautisha,12,26,Inc.,G,
4850,849/5,"??? ??? ???????
pa?ca bh?dha prakara?a?",,Jautisha,PL,TU,18x5,14 To 21,Jautisha,10,21,Inc.,G,
4851,849/6,"???? ?????? ????
var?a sa?khy? krama",Vararuchi,Jautisha,PL,TU,18x5,One,Jautisha,10,21,C,G,
4852,850,"???????????? ????????
gir???rayadi v?kyaga?u",,Jautisha,PL,TU,18x5,1 To 98,Jautisha,12,26,C,G,
4853,851/1,"?????? (??????) 
pa?c??ga (plava?ga) ",,Jautisha,PL,TU,18x4.5,1 To 31,Jautisha,10,26,C,G,"Sa-1769, Year-1848"
4854,851/2,"?????? (?????)
pa?c??ga (k?laka?)",,Jautisha,PL,TU,18x4.5,1 To 30,Jautisha,10,26,C ,G,"Sa-1770, Year-1849"
4855,851/3,"?????? (?????)
pa?c??ga (saumya)",,Jautisha,PL,TU,18x4.5,1 To 21,Jautisha,10,26,C ,G,"Sa-1771, Year-1850"
4856,851/4,"?????? (??????)
pa?c??ga (s?dh?ra?a)",,Jautisha,PL,TU,18x4.5,1 To 20,Jautisha,10,26,C,G,"Sa-1772, Year-1851"
4857,851/5,"????? ?????? ???
saumya yug?di ?la?",,Jautisha,PL,TU,18x4.5,22 To 23,Jautisha,10,26,Inc.,G,
4858,852,"??????? ???
sa?vatsara ?la?",,Jautisha,PL,TU,18x4.5,301Folios,Jautisha,13,25,Inc.,GO,
4859,853/1,"??????? ???
pra?n? s?ra",,Jautisha,PL,TU,18x4.5,1 To 90,Jautisha,13,30,C,G ,
4860,853/2,"??????????? ??
b?j?k??tra bala",,Jautisha,PL,TU,18x4.5,90 To 1 To 91,Jautisha,13,30,Inc.,G,
4861,854/1,"??????? ??? ????????
muh?rta s?ra vy?khy?",,Jautisha,PL,TU,18x5,1 To 114,Jautisha,13,28,C,G,
4862,854/10,"????? ??????
sa?t?na d?pik?",,Jautisha,PL,TU,18x5,1 To 3,Jautisha,14,30,Inc.,G ,
4863,854/2,"??????? ???? ???????
muh?rta padavi sa?graha?",,Jautisha,PL,TU,18x5,115 To 137,Jautisha,13,28,Inc.,G,
4864,854/3,"?????? ???????????
sm?ti dharma??stra",,Smriti,PL,TU,18x5,137 To 150,Smriti,13,28,C,G,
4865,854/4,"?? ??????
da?a ?l?k?",, G- Prayoga   ,PL,Tu,18x5,150 To 1 To 152, G- Prayoga   ,13,28,C ,G,
4866,854/5,"???? ??????
a?auca nir?aya",????????, G- Prayoga   ,PL,TU,18x5,162 To 1 To 154, G- Prayoga   ,13,28,C,G,
4867,854/6,"???????
upa?l?ka",, G- Prayoga   ,PL,Tu,18x5,160 To 180, G- Prayoga   ,13,28,C ,G,
4868,854/7,"?????? ?????
arghya ma?tra",, G- Prayoga   ,PL,Tu,18x5,180 To 1, G- Prayoga   ,13,28,C ,G,
4869,854/8,"?????? ????????????
s?dh?ra?a pr?ya?citta",, G- Prayoga   ,PL,Tu,18x5,181 To 182, G- Prayoga   ,13,28,C,G,
4870,855/1,"??? ??????
kara?a paddhati",,Jautisha,PL,TU,22x4.5,1 To 20,Jautisha,10,36,C,G,"Siddharti Sam, Simha Masa, "
4871,855/2,"??? ?????? ????????
kara?a paddhati vy?khy?",,Jautisha,PL,TU,22x4.5,1 To 66,Jautisha,10,36,C,G,"Script : Tulu, Language : Malayalam"
4872,855/3,"?????????
jala??stra",,Jautisha,PL,TU,22x4.5,67 To 79,Jautisha,11,40,C,G,
4873,855/4,"??? ????? ???????
pa?ca pak?i pra?n?",,Jautisha,PL,TU,22x4.5,1 To 24,Jautisha,11,40,C,G ,
4874,856/1,"?????? ???
yug?di ?la?",,Jautisha,PL,TU,19x4,1 To 67,Jautisha,10,30,Inc.,ODW,
4875,856/2,"??? ???????
s?ra sa?graha?",,Jautisha,PL,TU,19x4,68 To 88,Jautisha,10,30,Inc.,DW,
4876,856/3,"??? ??????
kara?a prak??a",Brahmadeva,Sahitya,PL,TU,19x4,90 To 99,Sahitya,10,30,Inc.,G,
4877,856/4,"??? ???? ?????
kara?a ratna vivara?a",Nitya Prakasa Bhattaraka,Jautisha,PL,TU,19x4,99 To 107,Jautisha,10,30,Inc.,OD,
4878,857/1,"?????? ???????
pa?c??ga prakara?a?",,Jautisha,PL,TU,32x4,1 To 29,Jautisha,8,40,C,G,"Kilaka Sam Kartika Sukla-12, "
4879,857/2,"?????? ?????? ????
pa?c??ga paddhati ??k?",Devidasa,Jautisha,PL,TU,32x4,40Folios,Jautisha,8,40,Inc.,G,"Script-Tulu, Kannada Language "
4880,858/1,"?????? ???? ????????
v?khy? kar?a vy?khy?",,Jautisha,PL,TU,40x5,1 To 12,Jautisha,11,70,C,G,"Script: Tulu, Kannada Vyakhya"
4881,858/2,"????? ?????? ????? ?????
graha?a pad?c?ra spu?a vidhi?",,Jautisha,PL,TU,40x5,13 To ,Jautisha,11,70,C,G,
4882,858/3,"????? ?????? ????
graha?a pad?c?ra bh???",,Jautisha,PL,TU,40x5,14 To 19,Jautisha,11,70,C,G,Script: Tulu  Language - Tulu
4883,858/4,"????? ?????? ????????
graha?a pad?c?ra vy?khy?",,Jautisha,PL,TU,40x5,1 To 14,Jautisha,11,70,Inc.,G,
4884,859/1,"????????? ????????
b?hajj?taka vy?khy?",Bhattotpala,Jautisha,PL,TU,30x5,1 To 24,Jautisha,11,50,Inc.,G,
4885,859/2,"???? ??????? ??????? ?????
m?l? nak?atra ty?jya kha??an?",,Jautisha,PL,TU,30x5,1 To 4,Jautisha,11,50,C,G,Scribe: Tammaiah Sastri
4886,859/3,"???? ??????? ??????? ?????
m?l? nak?atra ty?jya kha??an?",,Jautisha,PL,TU,30x5,1 To 4,Jautisha,11,50,C,G ,"Script: Tulu, Vyakhya Kannada, "
4887,859/4,"???? ??????? ??????? ?????
m?l? nak?atra ty?jya kha??an?",,Jautisha,PL,TU,30x5,1 To 7,Jautisha,11,50,Inc.,G,Scribe: Sivasankara Sastri
4888,859/5,"??????? ?????
muh?rta k??pa",,Jautisha,PL,TU,30x5,1 To 4,Jautisha,11,50,C ,DW,Scribe: Tirumaleswara Sastri
4889,859/6,"???? ??????? ?????? ?????
m?l? nak?atra vi??at gha?ik?",,Jautisha,PL,TU,30x5,1 To 10,Jautisha,11,50,C,DW,Scribe: Tammaiah Sastri
4890,859/7,"???? ??????? ?????? ?????
m?l? nak?atra vi??at gha?ik?",,Jautisha,PL,TU,30x5,1 To 10,Jautisha,11,50,C,DW,Scribe: Tirumalleswara Sastri
4891,860/1,"???? ?????? ????????
j?taka paddhati vy?khy?",,Jautisha,PL,TU,28.5x5,1 To 14,Jautisha,10,42,C,G ,Script: Tulu Vyakrya: Malayala 
4892,860/2,"??????? ????
pra?n? bh???",,Jautisha,PL,TU,28.5x5,15 To 19,Jautisha,10,42,C,G,
4893,860/3,"???????????
pra?n?pay?ga",,Jautisha,PL,TU,28.5x5,20 To 23,Jautisha,10,42,C,G,"Script: Tulu, Malayalam Language"
