Sl.No,Ass.No,Name ,Author,Column2,Subject,Material,lang,Size,No.of F,N.of/pg,l/line,extent,condetions,info,,
428,95/7,??????????????? ?????? – ??????,??????,Siddheshvarapurana namdya – virashaiva,Stotra,PL,Knn,35x6,10&11,9,70,C,G/O,,,
429,95/8,???????? ?????? – ??????,???????,Charamamkana namdya – virashaiva,Stotra,PL,Knn,35x6,11&14,9,70,C,G,,,
430,95/9,????? ????? ?????? – ??????,???????,Saumdara purana namdya – virashaiva,Stotra,PL,Knn,35x6,14&16,9,70,C,G,1450,,
431,96/1,???????? – ??????,??????? ?????,Karanahasig – virashaiva,Extra,PL,Knn,35x4.5,1&76,9,100,Inc,O/D/W,,,
432,96/2,?????????? – ??????,???????? ????? ,Mishrarpana – virashaiva,Vacana,PL,Knn,35x4.5,76&115,9,100,C,O/D,,,
433,96/3,??????? – ??????,???? ??????,Pamchikarana – virashaiva,Kavya,PL,Knn,35x4.5,115&170,9,100,C,O/D,,,
434,96/4,????????? – ??????,???????????,Srrishtivachana – virashaiva,Vacana,PL,Knn,35x4.5,120&124,9,100,C,O/D,,,
435,96/5,????????? – ??????,???????? ,Srrishtivachana – virashaiva,Vacana,PL,Knn,35x4.5,124&127,9,100,C,O,,,
436,97,??? ????? - ??????,??????,Basava purana - virashaiva,Kavya,PL,Knn,35x5,1&203,11,60,Inc,O/D,,,
437,97,??????? ????????? - ??????,????? ????????? ?????,Shatakatraya vyakhyana - virashaiva,Niti shataka,P,Knn,,1&117,9,50,C,O/D,,,
438,98,??????? ????????? - ??????,????? ????????? ?????,Shatakatraya vyakhyana - virashaiva,Niti shataka,P,Knn,,1&132,15,45,C,G,PÁ¼ÀAiÀÄÄQÛ £ÁªÀÄ ªÀiÁUÀğ²gÀ ±À.12 UÀÄgÀÄªÁgÀ °¦PÁgÀ: gÁ±ÀgÀzÀqÉ ZÀ£ÀßªÀÄ®è¥Àà,,
439,98/1,???? ???? ????? - ??????,??? ?????,Gamg gauri samvada - virashaiva,Kavya,PL,Knn,34x4,1&49,9,85,C,O/D,¸ÁAUÀvÀå,,
440,98/2,???? ????? ????? – ??????,??????????,Dipada kaliyara kavya – virashaiva,Kavya,PL,Knn,34x4,1&6,9,85,C,G,,,
441,99,???????????? ????? - ??????,????????? ?????,Channabasaveshvara purana - virashaiva,Kavya,PL,Knn,32x5,1&195,10,80,C,G/O,,,
442,99,?????? ??? ????????? - ??????,,Shivadhava shataka vyakhyana - virashaiva,Niti shataka,P,Knn,,1&107,9,40,C,G,,,
443,100,????????? ????? - ??????, ?????? ???,Praudharayana kavya - virashaiva,Kavya,P,Knn,33x12,1&88,9,30,Inc,O,,,
444,100,???????? ????? ??????? - ??????,?????????? ,Basaveshvara purana kathasagara - virashaiva,Kavya,PL,Knn,35x5,1&164,8,50,C,G,,,
445,101,??????? ???????? ????? - ??????,??????????,Kttura basaveshvara purana - virashaiva,Kavya,P,Knn,31x11,1&128,15,35,C,O/D,±ÀPÀ 1734& CAVgÀ¸À ¸ÀA. D²éd PÀÈµÀÚ ¥ÀPÀë 8 ¨sËªÀÄªÁgÀ.,,
446,101,????????????? – ??????,?????,Prabhulimgalil – virashaiva,Kavya,PL,Knn,34x6,1&68,12,60,C,G,,,
447,102,?????? ????,????????         ,Shrrimgara tilaka,Alankara,P,Knn,31x11.5,1&21,10,50,C,O/D,,,
448,102,?????????????? ????,???????,Namalimganushasana tik,Nighantu,PL,Knn,37x5.5,2&58,14,110,Inc,G/O,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
449,102/3,???? ?????? ?????? - ??????,,Bidi hadugala samgraha - virashaiva,Haadu,PL,Knn,18x5,15&22,9,35,Inc,O,,,
450,103,????????? ????? ??????? – ??????,??????????,Basaveshvarana purana kathasagara – virashaiva,Kathe,PL,Knn,34x5,1&119,11,70,C,G,461 PÀxÉUÀ¼ÀÄ,,
451,104,????????? ????? ????? ?? ???? - ??????,,Vrrishabhemdra purana ghatti pada nudi - virashaiva,Kavya,P,Knn,31x11,1&45,13,45,C,G/O,,,
452,104/1,???????? ????? - ??????,????????????,Bhikshatana kavya - virashaiva,Kavya,PL,Knn,35.5x4.5,2&10,11,105,Inc,O/D,,,
453,104/2,????????? ????? - ??????,???????? ??????,Bhairaveshvara kavya - virashaiva,Kavya,PL,Knn,35.5x4.5,11&79,11,105,C,O/D,,,
454,104/3,??? ???? ????? - ??????,?????????,Shabara shamkara vilasa - virashaiva,Kavya,PL,Knn,35.5x4.5,80&115,11,105,C,O/D,,,
455,104/4,???????????? - ??????,????????,Girijakalyana - virashaiva,Kavya,PL,Knn,35.5x4.5,116&183,11,105,C,O/D,,,
456,105/1,??????? - ??????,???? ??????,Pamchikarana - virashaiva,Kavya,P,Knn,37x5,2&53,16,35,Inc,G,,,
457,105/1,???????? – ??????,,Karanahasig – virashaiva,Extra,PL,Knn,37x5,1&4,12,90,C,G,,,
458,105/2,?????????? – ??????,?????????????,Mishrarpana – virashaiva,Vacana,PL,Knn,37x5,4&6,12,90,C,G,,,
459,105/2,????????? – ??????,???????,Srrishtivachana – virashaiva,Vacana,P,Knn,26x13,54&57,16,35,C,G/O,,,
460,105/3,??????? - ??????,???? ??????,Pamchikarana - virashaiva,Kavya,PL,Knn,37x5,6&7,12,90,C,G,,,
461,105/3,????????? – ??????,???????? ,Srrishtivachana – virashaiva,Vacana,P,Knn,26x13,57&60,16,35,Inc,O,,,
462,105/4,????????? – ??????,???????????,Srrishtivachana – virashaiva,Vacana,PL,Knn,37x5,7,12,90,C,O,,,
463,105/5,????????? – ??????,???????? ,Srrishtivachana – virashaiva,Vacana,PL,Knn,37x5,7&8,12,90,C,G,,,
464,105/6,??????? ?????? – ??????,???????????,Ekottara shatasthala – virashaiva,Vacana,PL,Knn,37x5,8&24,12,90,C,G,,,
465,105/7,????? ????? ????? - ??????,??????? ?????,Hiriya mamtra gopya - virashaiva,Kavya,PL,Knn,37x5,25&31,12,90,C,G,,,
466,105/8,??? ???? ????? - ??????,?????????,Shabara shamkara vilasa - virashaiva,Kavya,PL,Knn,37x5,32&48,12,90,C,G,,,
467,106,??? ??????? - ??????,????????            ,Basava shikhamani - virashaiva,Kavya,P,Knn,28x14,1&64,13,30,C,O/D,,,
468,106/1,???????????? - ??????,????????,Girijakalyana - virashaiva,Kavya,PL,Knn,36x5,1&70,10,60,C,G,,,
469,106/2,????????? ????? ????? – ??????,????????,Virupaksha sthana varnana – virashaiva,Kavya,PL,Knn,36x5,80&89,10,60,C,G/O,,,
470,107,????? ????? ????? - ??????,??????? ????? ,Hiriya mamtra gopya - virashaiva,Kavya,P,Knn,32x13.5,1&64,13,60,C,G,,,
471,107/1,????? ?????????? – ??????,???????? ?????,Hiriya mamtragopya – virashaiva,Vacana,PL,Knn,32x5,1&46,11,80,C,G,,,
472,107/2,???????????? – ??????,???????? ?????,Padamamtragopya – virashaiva,Vacana,PL,Knn,32x5,46&60,11,80,C,G,,,
473,107/3,?????????? – ??????,???????? ,Mamtragopya – virashaiva,Vacana,PL,Knn,32x5,60&68,11,80,C,G,,,
474,108,?????? ??????? - ??????,??????? ????    ,Shanmukha charitr - virashaiva,Kavya,P,Knn,25x14,3&310,16,35,Inc,O/D,,,
475,108/1,???????? ????? ??????? – ??????,?????????? ,Basaveshvara purana kathasagara – virashaiva,Kathe,PL,Knn,34x5,1&115,9,80,C,O/D,,,
476,108/2,????????? ?????? ?????? – ??????,??????????,Bhairaveshvara kavyada kathgalu – virashaiva,Kathe,PL,Knn,34x5,116&160,9,80,Inc,O/D,,,
477,108/3,????? ??????? - ??????,????? ??????,Sanamda charitr - virashaiva,Kavya,PL,Knn,34x5,161&250,9,80,C,G/O,,,
478,109,?????????? - ??????,??????? ?????,Jnanasimdhu - virashaiva,Kavya,P,Knn,30x14,1&330,13,35,C,O/D,,,
479,109,??????? ???????? – ??????,?????? ?????????,Ganabhashita ratnamal – virashaiva,Vacana,PL,Knn,43x4,63&174,7,80,Inc,O/D/W,,,
480,110,??????? ????? - ??????,?????? ???,Rajashekhara vilasa - virashaiva,Kavya,P,Knn,29x17,1&125,15,35,Inc,O/D,,,
481,110/1,????? ????? ?????? - ??????,???????,Saumdara purana namdya - virashaiva,Kavya,PL,Knn,49x5,9 Leaf,9,90,Inc,O,,,
482,110/2,??????? ???????? – ??????,?????? ?????????,Ganabhashita ratnamal – virashaiva,Vacana,PL,Knn,49x5,125,9,90,C,O,,,
483,111,?? ????? ????? ????????, ??????? ?????,Pada mamtra gopya tatparya,Kavya,P,Knn,31x10,1&50,11,55,C,G,,,
484,111,???????? - ??????,??????,Basavapurana - virashaiva,Kavya,PL,Knn,44.5x5.5,1&181,10,95,C,G,°¦PÁgÀ: ªÀÄÄzÀUÀ®è «gÀPÀÛªÀÄoÀzÀ ¹zÀŞgÁªÀÄAiÀÄå zÉÃªÀgÀÄ,,
485,112,????????? ????? ???????? ??????? – ??????,?????????????,Bhairaveshvara kavya kathasutra ratnakara – virashaiva,Kathe,PL,Knn,46x6,1&118,11,115,C,G,,,
486,112,?????? ????? ,,Dashachakra vidhana,Vacana,P,Knn,31x10,1&3,11,45,Inc,G/O,,,
487,113, ??????? ????????,???????????????, Ganabhashita ratnamal,Kavya,P,Knn,32x10,2&193,10,50,Inc,D/W,,,
488,113,??????????????? ?????? – ??????,??????????????????,Viramaheshvarachara samgraha – virashaiva,Tantra-mantra-agama,PL,Knn,40x5,1&174,7,65,C,O/D,nÃPÉ: ²æÃzsÀgÁAPÀ   1550        ªÀÄÆ®: ¸ÀA¸ÀÌøvÀ,,
489,114,????? ???? – ??????,????????? ??????,Rudra bharata – virashaiva,Vacana,P,Knn,37x10.5,1&55,10,45,Inc,D/W,,,
490,114/1,???????? ????? - ??????,????????????,Bhikshatana kavya - virashaiva,Kavya,PL,Knn,40x6,1&7,15,130,C,O,,,
491,114/2,???????????? – ??????,???????????????,Satyemdrachola – virashaiva,Kavya,PL,Knn,40x6,8&25,15,130,C,O,,,
492,114/3,??? ???? ????? - ??????,?????????,Shabara shamkara vilasa –virashaiva,Kavya,PL,Knn,40x6,25&44,15,130,C,O,,,
493,114/4,?????????? ????? - ??????,???????? ??????,Bhairaveshvarana kavya - virashaiva,Kavya,PL,Knn,40x6,45&65,15,130,C,O,,,
494,114/5,????? ?????? ????? - ??????,,Purana namdya padagalu - virashaiva,Kavya,PL,Knn,40x6,1&45,15,130,C,G,,,
495,115,???????????? ????? – ??????, ????????? ?????,Channabasaveshvara purana – virashaiva,Kavya,P,Knn,31x10.5,3&253,12,50,Inc,D,±ÀPÀ.1745 ¸ÉÆ¨Á£ÀÄ ¸ÀA. ªÉÊ±ÁR ±ÀÄ. 6 ¨sÁUÀğªÀªÁgÀ,,
496,115,???????,,Bhuvanakosha,Nighantu,PL,Knn,45x5,1&49,9,85,Inc,O/D,,,
497,116,???????? ????? - ??????,???????? ????,Bhikshatana kavya - virashaiva,Kavya,P,Knn,31x10.5,1&17,13,45,C,O,,,
498,117,???????? ????? – ??????,????? ???????,Basavarajiya bhashya – virashaiva,Kavya,PL,Knn,42x5.5,1&170,8,70,C,O,¸ÀA. ¨sÁµÀå: ¥Á®ÄÌjPÉ ¸ÉÆÃªÀÄ£ÁxÀ DAzsÀæ&‘ªÀÄ£ÉÆÃºÀj’AiÀÄ «ªÀgÀt ¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
499,117,??? ???? - ??????,???????,Madana vijaya - virashaiva,Kavya,P,Knn,32x10,1&24,21,50,Inc,D/W,,,
500,118,?? ?????? ???? ??????? – ??????,,21 diksha vivara vardhika – virashaiva,Kavya,P,Knn,32x11,1&2,12,45,C,O,,,
501,118,????????? ????? – ??????,??? ???? ?????    ,Shivadikya purana – virashaiva,Kavya,PL,Knn,46x4.5,1&76,7,125,C,O,,,
502,119,???? ????????? ????? - ??????,???????? ??????,Sasala bhairaveshvara kavya - virashaiva,Kavya,P,Knn,31x10.5,1&47,12,40,Inc,D/W,¸ÁAUÀvÀå,,
503,119/1,???????????????? ?????????? - ??????,??????????,Viramaheshvarachara sudhavardhi - virashaiva,Kavya,PL,Knn,36x5.5,1&214,9,70,C,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ PÀ£ÀßqÀ nÃPÉ,,
504,119/2,??????? ??????? – ??????,,Karanagama vardhika – virashaiva,Tantra-mantra-agama,PL,Knn,36x5.5,1&10,9,70,Inc,G/O,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
505,120,?????????? ?????? - ??????, ???,Chaturacharya prabamdha - virashaiva,Kavya,P,Knn,34x12,3&110,12,55,Inc,D/W,,,
506,120,????????????? - ??????,?????,Prabhulimgalil - virashaiva,Kavya,PL,Knn,40x3,1&133,6,75,C,O,°¦PÁgÀ: ªÀÄjªÀÄ®èAiÀÄå,,
507,121,????? ????? - ??????,??????? ?????,Jnana simdhu - virashaiva,Kavya,P,Knn,33x14,139&795,11,40,Inc,D/W,,,
508,121,??????? ???? – ??????,,Shivapuja vidhi – virashaiva,Pooja,PL,Knn,39x4,18&33,8,80,C,O,,,
509,122,??????? ??? ?????,?????? ???????,Tripura dahana kavya,Kavya,PL,Knn,40.5x3.5,1&83,6,75,C,G/O,"UÀgÀÄªÀ wªÀÄätÚ£À ªÀgÀ¸ÀÄvÀ wªÀÄätÚ ªÀÄUÀ (PÀ.ZÀ.¸ÀA.2, ¥ÀÄl: 208)",,
510,122,???????? ???? (?????? ?????) - ??????,?????? ?????? ????????? ,Rajemdra vijaya (hammira kavya) - virashaiva,Kavya,P,Knn,28x12,7&59,12,40,Inc,O/D,ZÀA¥ÀÄ,,
511,123,???????? ??????? ????????? - ??????,????????????,Siddhamta shikhamani vyakhyana - virashaiva,Kavya,PL,Knn,39x6,1&118,9,65,C,G/O,KPÉÆÃvÀÛgÀ ±ÀvÀ¸ÀÜ°UÉ ¸ÀA¸ÀÌøvÀ ªÁåSÁå£À,,
512,123,??? ????? - ??????, ??????? ?????,Karana hasig - virashaiva,Extra,P,Knn,27x13,1&71,17,35,C,G,,,
513,124,??????? ????? - ??????,?????? ???,Rajashekhara vilasa - virashaiva,Kavya,P,Knn,31x10.5,1&120,11,40,C,O/D,,,
514,124/1,???????? - ??????,??????? ?????,Karanahasig - virashaiva,Extra,PL,Knn,35x5,1&42,11,115,C,G/O,,,
515,124/2,?????????? – ??????,?????????????,Mishrarpana – virashaiva,Vacana,PL,Knn,35x5,42&70,11,115,C,G,,,
516,124/3,??????? - ??????,???? ??????,Pamchikarana - virashaiva,Kavya,PL,Knn,35x5,71&77,11,115,C,G,,,
517,124/4,????????? – ??????,???????????,Srrishtivachana – virashaiva,Vacana,PL,Knn,35x5,78&80,11,115,C,G,,,
518,124/5,????????? – ??????,???????? ,Srrishtivachana – virashaiva,Vacana,PL,Knn,35x5,80&83,11,115,C,G,,,
519,124/6,??????? ?????? – ??????,???????????,Ekottara shatasthala – virashaiva,Vacana,PL,Knn,35x5,84&233,11,115,C,G,,,
520,124/7,?????????? – ??????,??????? ?????,Mamtragopya – virashaiva,Kavya,PL,Knn,35x5,234&238,11,115,Inc,G/O,,,
521,125,???????? ????? - ??????,??????????,Raghavamkana kavya - virashaiva,Kavya,P,Knn,31x10.5,1&56,12,40,Inc,D/W,PÉÆ£ÉAiÀÄ ¥ÀvÀæ GvÀÛªÀÄªÁVªÉ.,,
522,125/1,???????? ??????,??????? ???????,Siddhamta kaumudi,Vyakarana,PL,Knn,47x6,1&179,11,80,C,D,¥ÁtÂ¤AiÀÄ ªÁåPÀgÀt Qæ.¥ÀÆ. 300,,
523,125/2,???? ????,,Samasa chakra,Vyakarana,PL,Knn,47x6,1&18,11,80,Inc,O,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
524,126,???? ???????? - ??????,???? ???,Sapta kavyagalu - virashaiva,Kavya,P,Knn,31x10.5,6&53,15,70,Inc,O/D,,,
525,126/1,??????????????,???????,Namalinganushasana,Nighantu,PL,Knn,35x5.5,12&127,11,80,Inc,O/D,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ PÀ£ÀßqÀ nÃPÉ,,
526,126/2,?????????? ????? – ??????,,Kshetrapala mahim – virashaiva,Stotra,PL,Knn,35x5.5,1&15,11,80,Inc,O/D,,,
527,126/3,??? ?????? – ??????,,Vachana samgraha – virashaiva,Vacana,PL,Knn,35x5.5,142&145,11,80,Inc,O/D,,,
528,127,?????????? - ??????,,Suvivekasara - virashaiva,Kavya,P,Knn,31x10.5,6&30,14,55,Inc,O/D,,,
529,127/1,????????? ?????????? – ??????,,Nilammanavara namdyanudi – virashaiva,Stotra,PL,Knn,32x5,1&3,10,65,C,G/O,,,
530,127/1,????????? ????? ?????? – ??????,,Manneshvara purana namdya – virashaiva,Stotra,PL,Knn,32x5,22&23,10,65,C,G,,,
531,127/11,????????? ????? ?????? – ??????,?????? ???????,Prabhudevara purana namdya – virashaiva,Stotra,PL,Knn,32x5,23&47,10,65,C,G,1606,,
532,127/12,???? ??????? ???? – ??????,,Lalita namdyada nudi – virashaiva,Stotra,PL,Knn,32x5,47&71,10,65,C,G,,,
533,127/13,??????????? ?????? – ??????,??????? ???????????,Limgastotra shatpadi – virashaiva,Stotra,PL,Knn,32x5,71&95,10,65,C,G,,,
534,127/14,??????? ?????? - ??????,?????? ?????? ?????????,Shivalimga shatpadi - virashaiva,Stotra,PL,Knn,32x5,95&104,10,65,C,G,,,
535,127/15,?????? ??????? ???? - ??????,?????? ???????,Malleshva?tpadiya nudi - virashaiva,Niti shataka,PL,Knn,,104&110,10,65,C,O,,,
536,127/16,???????? ????? – ??????,???????? ????,Bhikshatana kavya – virashaiva,Kavya,PL,Knn,32x5,110&112,10,65,C,G,,,
537,127/17,????????? ?????? ???? - ??????,???????? ??????,Bhairaveshvara kavyada nudi - virashaiva,Kavya,PL,Knn,32x5,112&114,10,65,C,G,¸ÁAUÀvÀå,,
538,127/18,???????????? - ??????,?????? ?????????,Bhavachimtaratna –virashaiva,Kavya,PL,Knn,32x5,115&119,10,65,C,G/O,,,
539,127/19,??? ???? ????? - ??????,?????????,Shabara shamkara vilasa - virashaiva,Kavya,PL,Knn,32x5,119&124,10,65,Inc,G/O,,,
540,127/2,??????? ????? ???? - ??????,?????????,Rajashekhara vilasa nudi - virashaiva,Kavya,PL,Knn,32x5,146&318,10,65,C,O,,,
541,127/2,?????????? ??????? ???? - ??????,,Siddheshvara vardhika nudi - virashaiva,Kavya,PL,Knn,32x5,3&5,10,65,C,G/O,,,
542,127/3,???????????? ?????? – ??????,?????? ?????????,Kappinamjayyana namdya – virashaiva,Kavya,PL,Knn,32x5,5&1&6,10,65,C,G,,,
543,127/4,???????? ????? ????? ?????? – ??????,??????,Basaveshvara varnaka purana namdya – virashaiva,Kavya,PL,Knn,32x5,6&7,10,65,C,G,,,
544,127/5,?????????? – ??????,,Devinamdya – virashaiva,Stotra,PL,Knn,32x5,7&8,10,65,C,G,,,
545,127/6,???????????? ????? ?????? – ??????,??????????????,Channabasaveshvara purana namdya – virashaiva,Stotra,PL,Knn,32x5,8&10,10,65,C,G,,,
546,127/7,?????? ????? ????????? ????????? ?????? – ??????,?????? ?????? ?????????,Murig siddha svamigalu nirupisida namdya – virashaiva,Stotra,PL,Knn,32x5,11&18,10,65,C,G,,,
547,127/8,??????? ?????? – ??????,,Nilammana namdya – virashaiva,Stotra,PL,Knn,32x5,18&20,10,65,C,G,,,
548,127/9,????????? – ??????,,Shadvaktaç – virashaiva,Stotra,PL,Knn,32x5,20&22,10,65,C,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
549,128,???????? ??? – ??????,????????? ??????,Nijacharan vachana – virashaiva,Vacana,P,Knn,31x11,1&53,15,50,C,O/D,,,
550,128/1,????????? ?????? – ??????,,Vaidikachara nirnaya – virashaiva,Tantra-mantra-agama,PL,Knn,37x5.5,1&30,10,85,C,O,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
551,128/2,??????? ???? ????????? ???????? – ??????,,Agamokta bhasma rudraksha dharanavidhi – virashaiva,Tantra-mantra-agama,PL,Knn,37x5.5,31&32,10,85,C,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
552,128/3,????????? ??????? ???? – ??????,,Nirmalya svikara vidhi – virashaiva,Tantra-mantra-agama,PL,Knn,37x5.5,33&35,10,85,C,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
553,128/4,????? ?????,,Purusha sukta,Vedamantra ,PL,Knn,37x5.5,35&36,10,85,C,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
554,128/4,?????????? ,,Purushasukta,Vedamantra ,PL,Knn,37x5.5,35&36,10,85,C,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
555,128/5,???????????????,,Ashvalayanopanishat,Upanishat,PL,Knn,37x5.5,36&37,10,85,C,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
556,128/6,???????????????,,Atharvashiropanishat,Upanishat,PL,Knn,37x5.5,37&39,10,85,C,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
557,128/7,??????????,,Hansopanishat,Upanishat,PL,Knn,37x5.5,39&41,10,85,C,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
558,128/8,?????????????,,Paramahansopanishat,Upanishat,PL,Knn,37x5.5,41&44,10,85,C,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
559,129,???????????? ????? – ??????,??????????????,Channabasaveshvara purana – virashaiva,Kavya,PL,Knn,48x5,2&130,8,95,Inc,O/D,,,
560,129,????????????? ??? – ??????,???? ?????? ?????,Shat?sthalanubhava vachana – virashaiva,Vacana,P,Knn,33x10,1&136,8,45,C,G/O,,,
561,130/1,?????? ???? ????????? – ??????,??????????,Udaharana gadya vyakhyana – virashaiva,Stotra,PL,Knn,36x5.5,1&10,10,60,C,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
562,130/1,????? ??? – ??????,??????? ??????,Acharan vachana – virashaiva,Vacana,P,Knn,31x10,1&19,10,60,C,O/D/ OÄ,,,
563,130/2,????????? ???? - ??????,,Aksharamkana gadya-virashaiva,Stotra,PL,Knn,36x5.5,10&22,10,60,C,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
564,130/2,????????   ????? ????? ???? – ??????,,Shat?sthala   jnana sambandha sthala – virashaiva,Vacana,P,Knn,31x10,19&41,10,60,C,G,,,
565,130/3,??????????? ??????? – ??????,??????????,Aksharamalika stotra – virashaiva,Stotra,PL,Knn,36x5.5,22&24,10,60,C,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
566,130/3,??? ??????? ??? – ??????,,Basava stotra vachana – virashaiva,Vacana,P,Knn,31x10,41&71,10,60,C,G,,,
567,130/4,??????? ???? – ??????,,Namaskara gadya – virashaiva,Stotra,PL,Knn,36x5.5,24&29,10,60,C,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
568,130/4,????? ??????? ??? – ??????,??????????????,Mishra stotra vachana – virashaiva,Vacana,P,Knn,31x10,71&96,10,60,C,G,,,
569,130/5,?????????? ???? – ??????,,Panchaprakarada gadya – virashaiva,Stotra,PL,Knn,36x5.5,29&34,10,60,C,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
570,130/5,????? ????? ??? – ??????,????? ????????????,Acharan sambandha vachana – virashaiva,Vacana,P,Knn,31x10,96&1&146,10,60,C,O,,,
571,130/6,???????? ?????? – ??????,,Tatparya samgraha – virashaiva,Stotra,PL,Knn,36x5.5,34&39,10,60,Inc,D,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
572,131,??? ??????? ??? - ??????,????????????????,Shiva mahimna shataka - virashaiva,Niti shataka,PL,Knn,,1&25,9,75,Inc,G/O,,,
573,131,??????? ??? – ??????,???? ??????,Anubhavada vachana – virashaiva,Vacana,P,Knn,32x10,1&18,9,45,C,G,,,
574,132,????? ?????? ????? ???? – ??????,,Varnaka puranada tunaku nudi – virashaiva,Vacana,P,Knn,31x11,1&88,15,70,C,G,,,
575,132/1,??????????? ?????????,????? ????,Shivanamdalahari vyakhyana,Stotra,PL,Knn,37x5.5,1&21,10,50,C,O,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
576,132/1,??????????????,,Maitreyopanishat,Upanishat,PL,Knn,37x5.5,29&32,10,50,C,G/O,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
577,132/11,??????????????????,,Shvetashvataropanishat,Upanishat,PL,Knn,37x5.5,32&45,10,50,C,G/O,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
578,132/12,??????????,,Hansopanishat,Upanishat,PL,Knn,37x5.5,45&46,10,50,C,G/O,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
579,132/13,???????????,,Garbhopanishat,Upanishat,PL,Knn,37x5.5,46&49,10,50,C,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
580,132/14,??????????????,,Yogatatvopanishat,Upanishat,PL,Knn,37x5.5,50,10,50,C,O,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
581,132/2,???????????????,,Ashvalayanopanishat,Upanishat,PL,Knn,37x5.5,1&2,10,50,C,G/O,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
582,132/3,???????????????,,Yajurvedopanishat,Upanishat,PL,Knn,37x5.5,2&5,10,50,C,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
583,132/4,???????????????,,Chamdogyopanishat,Upanishat,PL,Knn,37x5.5,6&15,10,50,C,O,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
584,132/5,?????????????????,,Brrihadaranyakopanishat,Upanishat,PL,Knn,37x5.5,15&24,10,50,C,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
585,132/6,????????????,,Mundakopanishat,Upanishat,PL,Knn,37x5.5,25&26,10,50,C,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
586,132/7,?????????????,,Prashnopanishat,Upanishat,PL,Knn,37x5.5,26&27,10,50,C,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
587,132/8,?????????????,,Paramahansopanishat,Upanishat,PL,Knn,37x5.5,28&29,10,50,C,G/O,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
588,132/9,?????????????,,Brahmopanishat,Upanishat,PL,Knn,37x5.5,29,10,50,C,O,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
589,133/1,??????? ???????  -??????,,Bamkannana charitra  -virashaiva,Kavya,PL,Knn,31x10.5,1&8,11,40,Inc,O/D,,,
590,133/1,??????? ??????? - ??????,,Bamkannana charitra - virashaiva,Kavya,P,Knn,31x10.5,1&8,11,40,Inc,O/D,,,
591,133/1,???????????? ???????? – ??????,,Gananamastotra trividhi – virashaiva,Stotra,PL,Knn,32x5,31&34,10,50,Inc,O,,,
592,133/2,???????? ????? - ??????,???????? ????,Bhikshatana kavya - virashaiva,Kavya,P,Knn,31x10.5,1&16,14,45,C,G/O,,,
593,133/2,?????????? ???????? – ??????,???????????,Basavastotra trividhi – virashaiva,Stotra,PL,Knn,32x5,35&44,8,50,C,O,,,
594,133/3,???????????? ???????? – ??????,???????????,Mishrastotra trividhi – virashaiva,Stotra,PL,Knn,32x5,44&51,8,50,C,O,,,
595,133/4,???????? ??????? ????????,???????????,Ashtavarana stotra trividhi,Stotra,PL,Knn,32x5,51&60,8,50,C,O,,,
596,133/5,???????? ????????? – ??????,?????????,Atmalimga samyogasthala – virashaiva,Vacana,PL,Knn,32x5,61&67,8,50,C,G,,,
597,133/6,???? ???? ??? – ??????,???????,Shamkara devara kamda – virashaiva,Kavya,PL,Knn,32x5,67&75,8,50,C,O,,,
