Sl.No,Ass.No,Name ,Author,Column2,Subject,Material,lang,Size,No.of F,N.of/pg,l/line,extent,condetions,info,,
34,16/3,??????? - ??????,???? ??????,Pamchikarana - virashaiva,Kavya,PL,Knn,35x5,13 Leaf,11,100,Inc,O/D,,,
35,16/5,????????? ???,,Shrirudra kavacha,Vedamantra ,PL,Knn,35x5,15,11,100,Inc,O/D,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
36,16/5,????????? ??? - ????????,,Shrirudra kavacha - vedamamtra,Tantra-mantra-agama,PL,Knn,35x5,15 Leaf,11,100,Inc,O/D,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
37,16/6,??????????????? – ?????? ,,Lingadharanopanishat – virashaiva,Upanishat,PL,Knn,35x5,15&20,11,100,Inc,O/D,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
38,17,?????????????? ????? - ??????, ???????,Revanasiddheshvara purana - virashaiva,Kavya,P,Knn,32x10,1&90,7,40,C,G/O,,,
39,17/1,??????????? ???? ,??????,Brahmottara kamda,Kavya,PL,Knn,35x4.5,8 Leaf,8,70,Inc,O,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ ‘²ªÀªÀiÁºÁvÉäöå’ ‘±ÀAPÀgÀ«dAiÀÄ’ & ‘gÀWÀÄªÀA±À’ ¸ÀnÃPÀÄ ±ÉÆèÃPÀUÀ¼ÀÄ,,
40,18,?????????????? ????? - ??????,???????,Revanasiddheshvara purana - virashaiva,Kavya,P,Knn,34x10.5,1&81,8,60,C,G,,,
41,18,????? ???????? – ??????,?????? ???????,Viveka chimtamani – virashaiva,Kavya,PL,Knn,36x5.5,43 Leaf,11,75,Inc,O/D,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ ¥ÀæxÀªÀÄ ¥ÀgÀZÉÒÃzÀ,,
42,19,?????????????? ????? - ??????,???????,Revanasiddheshvara purana - virashaiva,Kavya,P,Knn,31x11,1&72,10,50,C,G,,,
43,19/1,????????? – ??????,????????????,Kaivalyasara – virashaiva,Kavya,PL,Knn,36x5,1&35,7,75,C,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ 101 ¸ÀÜ®«ªÉÃZÀ£É,,
44,19/2,????????? ???? - ??????,????????????,Kaivalyasara tiku - virashaiva,Kavya,PL,Knn,36x5,36&174,7,75,C,G,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
45,19/3,???????????,,Shabdarupavali,Vyakarana,PL,Knn,36x5,1&15,7,75,Inc,O,¨sÁµÉ: ¸ÀA¸ÀÌøvÀ,,
46,19/4,???? ????,,Samasa chakra,Vyakarana,PL,Knn,36x5,15&18,7,75,Inc,O,,,
47,20,?????????? - ??????,?????????,Basavarajavijaya - virashaiva,Kavya,PL,Knn,31x5,1&152,9,80,C,G/O,±ÀPÀ 1600 ¥ÀZÉÑPÀAvÉAiÀÄ PÀ¦à£À §¸ÀªÀ°AUÀAiÀÄå,,
48,20,???? ?????????? ????? - ??????,??????? ???????,Revana siddheshvara kavya - virashaiva,Kavya,P,Knn,29x12,1&35,10,35,C,G/O,,,
49,21,?????? ?????? - ??????,?????? ???????,Kaivalya paddhati - virashaiva,Kavya,PL,Knn,34x5,1&37,12,80,Inc,O,,,
50,21,?????????????? ????? - ??????,???????,Revanasiddheshvara purana - virashaiva,Kavya,P,Knn,31x11,30&289,9,35,Inc,O/D,,,
51,22,?????? ?????-???????? - ??????,, Devamga purana-tikusahita - virashaiva,Kavya,P,Knn,28x10,1&123,14,45,C,G,°¦PÁgÀ: ¹zÀŞ°AUÀAiÀÄå,,
52,22/1,??????????? ????? – ??????,??????? ???????????,Limgastotra shatpada – virashaiva,Stotra,PL,Knn,34x5,1&35,10,80,C,G,"°AUÉÃ±ÀégÀ, µÀqÀPÀëj CAQvÀzÀ ¸ÀégÀªÀZÀ£ÀUÀ¼ÀÄ",,
53,22/2,????????? ????? ?????? – ??????,?????? ???????,Prabhudevara purana namdya – virashaiva,Stotra,PL,Knn,34x5,35&75,10,80,C,G,,,
54,23,?????????? ???????? ????? - ??????,?????????,Siddheshvara svamigala purana - virashaiva,Kavya,P,Knn,29x11,1&282,9,25,C,G,,,
55,23,??????????????,???????,Namalinganushasana,Nighantu,PL,Knn,24x6,1&70,8,40,Inc,O,,,
56,24,???????????? ????? – ??????, ????????? ?????,Channabasaveshvara purana – virashaiva,Kavya,P,Knn,33x11,1&304,13,55,C,G,,,
57,24/1,?????? – ??????,,Mathasthala – virashaiva,Vacana,PL,Knn,24.5x3,1&11,4,40,Inc,O/D,,,
58,24/2,??????????? - ??????,????????????,Dikshavidhana - virashaiva,Kavya,PL,Knn,24.5x3,12&20,4,40,Inc,O/D,,,
59,25,???????????? ????? – ??????, ????????? ?????,Channabasaveshvara purana – virashaiva,Kavya,P,Knn,32x10,1&366,9,35,C,O,,,
60,25/1,???????????? - ??????,?????? ?????? ?????????,Rajemdravijaya - virashaiva,Kavya,PL,Knn,31x5,1&50,11,55,C,O,,,
61,25/2,??????? ????? - ??????,?????????,Rajashekhara vilasa - virashaiva,Kavya,PL,Knn,31x5,51&276,11,55,C,O,,,
62,26,???????? ???? - ??????, ?????? ?????????,Bhavachimta ratna - virashaiva,Kavya,P,Knn,23x11,1&253,12,45,C,G/O,,,
63,26/1,??????? ???? – ??????,,Namaskara gadya – virashaiva,Stotra,PL,Knn,24.5x5,49&50,10,60,C,G,,,
64,26/1,?????????? ???????? – ??????,???????????,Basavastotra trividhi – virashaiva,Stotra,PL,Knn,24.5x5,1&9,10,60,C,G,,,
65,26/11,?????????? ???? – ??????,,Pamchaprakarada gadya – virashaiva,Stotra,PL,Knn,24.5x5,50&52,10,60,C,G,,,
66,26/2,???????????? ???????? – ??????,???????????,Mishrastotra trividhi – virashaiva,Stotra,PL,Knn,24.5x5,9&15,10,60,C,G,,,
