SL.No,Ass.No,Subject,Author,Material,Script,Size,No.Folios,Sub,No. of lines in Pages,No.of letter per line ,Extent,Condition,Additional In fo
1,1,"???????
r?m?ya?a?",Valmiki,PL,N.Na,51x5,271,Itihasa,14,121,Inc,G,"Begining From : Uttara, Ayodhya, "
2,1,"?????? ??????
?gv?da sa?hit?",,P,D,21.5x10,1 To 84,Samhita,8,32,Inc,G ,"Saka 1718, Year 1797 Anala Sam Gresma Rtu, Jesta suto15 induvara scribe: Kakan Kasa"
3,2,"?????? ??????
?gv?da sa?hit?",,P,D,20x11,1 To 219,Samhita,10,21,Inc,G ,"I, II, V Astaka"
4,2/3,"????? ??????
v?san? bh??ya?",Nrsimha,PL,N. Na,48x6,96 To 220,Jautisha,11,92,C,OD,
5,3,"???????
r?m?ya?a?",Nrsimha,PL,N.Na,53x5,1 To 255,Itihasa,14,112,Inc.,G ,Balakanda to Yuddha kanda 
6,3,"?????? ??????
?gv?da sa?hit?",,P,D,20x 9.5,1 To 105,Samhita,9,27,Inc.,Go,III Astaka
7,4,"???????
r?m?ya?a?",,PL,N.Na,49x6,11 To 218,Itihasa,9,96,Inc.,OD,Bala to Aranya kanda
8,4,"?????? ??????
?gv?da sa?hit?",,P,D,21x10,1 To 77,Samhita,11,33,Inc.,OD,IV Astaka
9,5,"???????
r?m?ya?a?",,PL,N.Na,50x6,1 To 323,Itihasa,11,84,Inc.,G,Bala to Yuddha kanda
10,5,"?????? ??????
?gv?da sa?hit?",,P,D,21 x 11,1 To 94,Samhita,10,30,Inc.,G,"VII Astaka, Saka to 1803, year 1882 varsa sam, Palguna sukla, Soumyavara, scribe : Sadasiva"
11,6,"?????? ??????
?gv?da sa?hit?",,P,D,21x10,14 To 315,Samhita,11,25,Inc.,ODW,"I, VI, VIII Astaka Saka to 1772 to year to 1851 Sadarana sam, Asada Krishna Astami, scribe : Krishna Kakatkar"
12,6/1,"?????? ??????
kapardi k?rik?",???????,PL,N.Na,43x3.5,1 To 175, G- Prayoga   ,6,63,C,G,
13,7,"???? ??????????
k??i m?h?tmya?",???????,PL,N.Na,53x6,53 To 297,Purana,10,110,Inc.,OD,Many Folios Missing 
14,7,"????? ?????????
k???a yajusa?hit?",,P,D,30x10.5,1 To 289,Samhita,13,52,C,ODW,"Saka 1674 to 1753 Angirasa sam Sravana Masa, Scribe : Krishna "
15,8,"??????? ??????????
h?l?sya m?h?tmya?",,PL,N.Na,46x6,1 To 151,Purana,9,70,C,G,From : Skanda Purana
16,8,"???????????????
n?mali?g?nu??sana?",Mahesvara,P,D,34x11,1 To 261,Nighantu,11,65,C,G,"Saka 1804, Year 1882, Citra Banusam, "
17,9,"????? ?????????
k???a yajusa?hit?",,P,D,23.5x 11,1 To 631,Samhita,8,32,C,OD,"Saka 1848toyear 1927 Ksyasam, Scribe: Viswanatha Diksita"
18,9,"?????????? ???????
da?ap?r?am?sa pray?ga?",,PL,N.Na,34x6,120Folios,shrouta- G- Prayoga   ,10,60,Inc.,OD,"Bodhayanasakha No. of. Folios, Subjects Missing"
19,10,"???????
r?m?ya?a?",,PL,N.Na,48x5,1 To 327,Itihasa,12,95,Inc.,G,""""
20,10,"????????????????
taittiriy?ra?yaka?",,P,D,20.5x10,1 To 99,aranyaka,9,25,C,G,"Sakato1705 to 1784 Sobansam Palguna Su to 3, Induvara "
21,11,"???????
r?m?ya?a?",,PL,N.Na,51x5,1 To 55,Itihasa,9,102,Inc.,G,
22,11,"????????????????
taittiriy?ra?yaka?",,P,D,21x11,1 To 143,aranyaka,10,27,C,G,"Sakato1834, 1913 Paridhavi sam, Scribe : Harihara"
23,12,"??? ????????
y?ga ratn?va?i",Srikanta Shiva ,PL,N.Na,49x5,1 To 59,Vaidya,8,96,Inc.,OD,
24,12,"????????????????
taittiriy?ra?yaka?",,P,D,21x11,95 To 105,aranyaka,11,35,Inc.,O,
25,13,"????????? ????????
taittir?ya br?hma?a",,P,D,21x10,1 To 355,Brahmana,10,30,C,OD,"Saka 1717 to 1796 Raksa sam Sravana Su, Purnima Guruvara "
26,13/1,"????????? ????
karmavip?ka ratna",Kamalakara Bhatta,PL,N.Na,49x5 ,105 To 114,Vaidya,9,95,Inc.,G,
27,13/2,"????????? ???????
?ivatattva ratn?kara",Keladi Basava ,PL,N. Na,49x5,14 To 280,Veerashaiva,9,95,Inc.,G,
28,14,"????? ?????????
k???a yajusa?hit?",,P,D,21x10,1 To 465,Samhita,11,33,C,G,"Saka 1722to1801 Raudrisam, Marga, "
29,14/1,"????????? ????
karmavip?ka ratna",,PL,N.Na,49x5,1 To 114,Vaidya,9,80,C,G ,"Begining From, Anukramanika"
30,14/2,"???????? ????? ????
h?m?dri vrata? k???a",,PL,N.Na,49x5,1 To 60, G- Prayoga   ,9,80,Inc.,O,
31,15,"???? ????? ????
m?dhava vijaya? ??k?",Visvapati Thrtha,""" ",N.Na,35x6, To ,Kavya,11,63,Inc.,G,
32,15,"????????? ????????
taittir?ya br?hma?a",,P,D,21x10,1 To 206,Brahmana,9,20,C,G,"Sakato1753, 1832 Khara sam Adika Vaisaka Sukla to 3 Bhargavara, Scribe : Ganesha"
33,16,"?????????
gurucarita?",-,P,D,21x10,1 To 477,Purana,9,30,C ,G,"Saka - 1788, Year : 1867, ksya sam, "
34,16/1,"?????? ?????
nir?aya si?dhu",?????? ????,PL,N.Na,49x5,1 To 222, G- Prayoga   ,7,94,C,G,
35,16/2,"????? ????? ??????
g?tra pravara nir?aya",,PL,N.Na,49x5,223 To 228, G- Prayoga   ,7,94,C,G,
36,17,"??????? ????????
mah?bh?rata vy?khy?",,PL,N.Na,65x6,104 To 217,Itihasa,10,112,Inc,ODW,Santiparva
37,17,"?????? ??????
?gv?da sa?hit?",,P,""" ", 22x10.5,3 To 62,Samhita,11,27,Inc,OD,
38,18,"?????? ??????
?gv?da sa?hit?",,P,""" ",21.5x 10,1 To 329,Samhita,1,32,Inc,G,
39,18/1,"?????????? ???
muku?d?na?da b??a",Kasipati,PL,N.Na,42x4,1 To 38,Nataka,7,63,C,O,
40,18/2,"??????????? ??????
j?vanmukti kaly??a",Malldhvari,PL,N.Na,42x4,1 To 25,Nataka,7,63,Inc.,OD,
41,19,"???????
r?m?ya?a?",Malldhvari,PL,N.Na,52x6,22,Itihasa,11,102,Inc.,OD,
42,19,"?????????? ??????
puru?as?kta bh??ya?",,P,D,20.5x11,1 To 9,Veda - Mantra,10,28,C,DW,"Saka 1799. Year to 1878, Esawara sam, Asvija suklatryodasi, Mandavara, Scribe : Sadasiva"
43,20,"????? (?)
padag??a (?)",,P,D,21x11,1 To 18,Veda - Mantra,13,30,C,G,
44,20/1,"??????
dh?tupatha",panini,PL,N.Na,47x5,1 To 7,Vyakarana,10,110,Inc.,O,
45,20/2,"??????????????? ????????
n?mali?g?nu??sana? vy?khy?",,PL,N.Na,49x5,1 To 19,Nighantu,9,80,Inc.,O,
46,20/3,"?????? ????????
raghuva??a vy?khy?",Mallinatha,PL,N.Na,49x5,35 To 42,Kavya,11,88,Inc.,O,
47,20/4,"????????? ????????
?i?up?lavadha vy?khy?",Mallinatha,PL,N.Na,49x5,128 To 165,Kavya,11,88,Inc.,O,
48,20/5,"????????? ??????????
ve?ka?agiri m?h?tmya?",Mallinatha,PL,N.Na,49x5,1 To 16,Purana,9,98,Inc.,OD,
49,21,"????? ??????? ??????
bh?gavata bh?v?rtha d?pik?",Sridhara,PL,N.Na,60x6,38,Purana,10,110,Inc.,O ,"XI, XII Skanda"
50,21,"????? ?????????
k???a yajusa?hit?",,P,“,23x10.5,1 To 407,Samhita,9,30,Inc.,G,"Saka 1834to1913 Paridhavisam, Chaitra sukla 7 chandravara"
51,22,"?????? ??????
?gv?da sa?hit?",,P,D,21x11,1 To 96,Samhita,10,22,Inc.,G,
52,22/1,"??????? ??????
?r?pati paddhati",,PL,N. Na,44x5,45 To 67,Jautisha,9,75,Inc. ,O,
53,22/2,"?????????????
bh?rhyaspatya",Brahaspati,PL,N. Na,44x5,68 To 91,Jautisha,9,75,Inc.,O,
54,22/3,"????? ????????
s?rya siddh??ta",Bhaskaracarya,PL,N. Na,44x5,94 To 107,Jautisha,15,122,Inc.,OD,
55,22/4,"?? ?????
nara cakra?",,PL,N. Na,44x5,108 To 113,Jautisha,9,70,Inc. ,OD,
56,22/5,"??????
t?r?bala",,PL,N. Na,44x5,114 To 117,Jautisha,12,106,C ,O,
57,22/6,"????????? ?????
sa?kr??ti lak?a?a",,PL,N. Na.,44x5,118 To 144,Jautisha,10,95,Inc.,O,
58,23,"?????? ????? ????????
?gv?da s?kta vy?khy?",,P,D,22x11,1 To 96,Samhita,10,35,C ,G,
59,23,"???????????? ?????
pr?yas?yitta vidhi?",,PL,N.Na.,34x5,48 To , G- Prayoga   ,7,60,Inc.,OD,
60,24,"??????? ???????
saubh?gya ratn?kara",Vidyanandanatha,PL,N.Na,26x5,8 To 89,Tantra Mantragama,10,56,Inc.,OD,
61,24,"????????? ???????
sth?l?p?ka pray?ga?",,P,D,19.5x10.5,1 To 6, G- Prayoga   ,12,26,C,G,"Saka 1759, Year 1838, Hemalambisam, Asada Bhahula to 7, Induvara, Scribe : Ananta"
62,25,"??????? ?????
rath?tsava vidhi?",,PL,N. Na,33x3.5,1 To 93,Shaivagama,8,53,Inc.,OD,
63,25/1,"???????? ?????? ????????
siddh??ta kaumudi vy?khy?",Bhattojidiksita,P,D ,26.5x11.5,1 To 138,Vyakarana,9,30,Inc.,GO,
64,25/2,"?????? ???? ?????
brahma yajña vidhi?",,P,D,26.5x11.5,1 To 2, G- Prayoga   ,9,30,C,G,
65,25/3,"???????????????
n?mali?g?nu??sana?",Bhattojidiksita Sisaya,P,D,26.5x11.5,1 To 50,Nighantu,9,30,Inc.,ODW,
66,25/4,"???????
?ivag?t?",Bhattojidiksita Sisaya,P,D,26.5x11.5,1 To 5,Gita,9,30,C ,G,From : Padma Purana 
67,25/5,"??????? ?????????? ?????
vaiy?kara?a paribh????du ??khara?",Nagesabhatta,P,D ,26.5x11.5,30 To 45,Vyakarana,9,30,Inc.,DW,
68,26,"????????? ??????
naimittika karma?i",Desikendra,PL,N. Na,33x4,60Folios,Tantra Mantragama,8,64,Inc.,ODW,
69,26,"????? ?????????
k???a yajusa?hit?",,P,D,25x10.5,1 To 480,Samhita,12,38,C,G,"Saka 1674 to1753, Angirasasam Jestasudha to 5 Titi, Scribe : Lallopa "
70,27,"???????????
a???dhy?yi",Panini,P,D,24x10,1 To 46,Vyakarana,9,38,C ,G,"Saka - 1679, Year - 1758, Isvara sam, "
71,27/1,"???????? ???????
sub?dhini sam?khy?",??????,PL,N.Na,25x5,1 To 83, G- Prayoga   ,9,42,Inc.,OD,
72,27/2,"??????? ???????
saubh?gya ratn?kara",??????,PL,N.Na,25x5,5 To 31,Tantra Mantragama,10,54,Inc.,OD,III to IX Stranza
73,28,"????????
?iv?tsava",,PL,N. Na,33x5,1 To 100,Shaivagama,10,63,Inc.,OD,
74,28/1,"??????
dh?tupatha",,P,D,25.5x10,1 To 16,Vyakarana,10,40,C,G,"Saka - 1681, Year - Pramatisam "
75,28/2,"????????
u??dip??ha",,P,D,25.5x10,1 To 6,Vyakarana,10,40,C ,G,"Saka - 1731, Year - 1810, Sukla Sam, "
76,29,"???????
r?m?ya?a?",,PL,N.Na,42x5,11 To 133,Itihasa,12,130,Inc.,OD,Kiskinda - Aranyakanda 
77,29,"????? ????????
ga?apati sahasran?ma",,P,D,21.5x10.5,1 To 11,Stotra,13,28,C,G,
78,30,"??? ????? ??????
k?la vidh?na paddhati",Trivikramacarya,PL,N.Na,21x5,1 To 19,Jautisha,9,34,C,G,
79,30,"?????? ??????
?gv?da sa?hit?",,P,D,20 x10.5,1 To 102,Samhita,8,25,C,W,I Astaka
80,31,"??????????? ???
sm?ty?rtha s?ra",,PL,N.Na,15x5,1 To 57,Smriti,9,38,Inc.,ODW,
81,31,"????????? ????????
b?hajj?taka vy?khy?",,P,D,21x10,1 To 201,Jautisha,11,27,C,G,"Saka-1752, Year-1831, Vikriti Sam, "
82,32,"????? ????????
bh?gavata vy?khy?",Yadupati,PL,N.Na,44x4,1 To 125,Purana,9,100,Inc.,OD,II Skanda
83,32,"????????
kapilag?t?",Vyasa,P,D,20.5x10,1 To 4,Gita,10,32,C,OW,
84,33,"?????? ????
c??akya n?ti",Canakya,P,D,22x11,1 To 32,Subhashita,10,28,C ,G,"Saka - 1785, Year - 1864, Rudirodgari "
85,33/1,"?????? ??????????
r?m?ya?a m?h?tmya?",,PL,N.Na,33x6,1 To 28,Purana,11,56,C,G,"From : Skanda Purana, Umasamhita "
86,33/2,"???????????????
adhy?tmar?m?ya?a?",,PL,N.Na,33x6,29 To 157,Itihasa,11,50,C ,G,"Saka - 1683, Year - 1762, Vikram sam,"
87,34,"???????? ????? ????? ????????
??val?yana g?hya s?tra pari?i??a",????????,P,D,20.5x11 ,1 To 50,Grahyasutra,10,22,Inc.,O,
88,34,"??? ???????
madana p?rij?ta",??? ???,PL,N.Na,46x5,112 To 231, G- Prayoga   ,9,88,Inc.,OD,
89,35/1,"????????????
s?dhan?nu??h?na",Kapila,P,D,22x11,1 To 3,Yoga,11,30,C,G,From : Skanda Purana 
90,35/1,"??????????? ?????? ????????
brahmas?tra bh??ya? vy?khy?",Kapila,PL,N. Na,34x5,1 To 72,Dvaita,8,62,C,G,
91,35/10,"?????????????????
prapa?cam?tyavanum?na",Ananda Tirtha,PL,N. Na,34x5,One,Dvaita,8,62,Inc.,G,
92,35/11,"??? ?????
kath? lak?a?a",Ananda Tirtha,PL,N. Na,34x5,One,Jautisha,8,62,Inc.,G,
93,35/12,"????????????
tattv?dy?ta",Ananda Tirtha,PL,N. Na,34x5,284 To 288,Dvaita,8,62,Inc.,G,
94,35/13,"???????????? ??????
vi??utattva nir?aya",Ananda Tirtha,PL,N. Na,34x5,288 To 306,Dvaita,8,62,Inc.,G,
95,35/2,"???? ??????
?iv? likhit?",,P,D,22x11,1 To 10,Stotra,11,28,C,G ,
96,35/2,"?? ???????
nakha stuti?",,PL,N. Na,34x5,73 To 154,Dvaita,8,62,Inc.,G,
97,35/3,"????????????
?r?madbh??ya",,PL,N. Na,34x5,240 To 269,Dvaita,8,62,Inc.,G,
98,35/4,"???? ??????
karma nir?aya",Ananda Tirtha,PL,N. Na,34x5,210 To 279,G- Prayoga   ,8,62,Inc.,G,
99,35/5,"?????? ?????
pram??a lak?a?a",Ananda Tirtha,PL,N. Na,34x5 ,279 To 281,Dvaita,8,62,Inc.,G,
100,35/6,"?????? ???????
tattva sa?khy?na",Ananda Tirtha,PL,N. Na,34x5,One,Dvaita,8,62,Inc.,G,
101,35/7,"?????? ?????
tattva viv?ka",Ananda Tirtha,PL,N. Na,34x5,One,Dvaita,8,62,Inc. ,G,
102,35/8,"????? ????
mayav?da kha??ana",Ananda Tirtha,PL,N. Na,34x5,One,Dvaita,8,62,C,G,
103,35/9,"?????????
up?dhikha??ana",Ananda Tirtha,PL,N. Na,34x5,One,Dvaita,8,62,Inc.,G,
104,36/1,"??? ???? ?????
d?va p?j? vidhi?",,PL,N.Na,24x5,1 To 16, pooja,8,42,C ,G,
105,36/1,"???? ???? ????
graha l?ghava ??k?",Visvanatha,P,D,21.5x10.5,2 To 36,Jautisha,13,28,Inc.,G,sake 1761 year 1840 Vikani sam 
106,36/10,"???? ???? ????
na??a j?taka ??k?",,P,D,21.5x10.5,1 To 8,Jautisha,11,32,Inc.,G,"Script- Devanagari, Kannada Language"
107,36/11,"????? ????
a??aka varga",,P,D,20.5x10,1 To 28,,11,32,C,G,
108,36/12,"???? ?????? ????????
j?taka paddhati vy?khy?",Visvanatha,P,D,21.5x10.5 ,1 To 69,Jautisha,11,32,C,G,"Sa-1754, Year-1833, Nandana Sam "
109,36/13,"??????????? ?????
vyatip?t?di lak?a?a",,P,D,21.5x10.5,1 To 6,Jautisha,13,32,Inc.,G,
110,36/14,"?????
mah?patha",,P,D,20.5x10,1 To 5,Jautisha,10,32,C ,G,
111,36/15,"?????? ?????
str? lak?a?a",,P,D, 21.5x10.5,1 To 4,Jautisha,10,27,C,G,
112,36/16,"??????? ????
pra?n? bhairava",,P,D,20.5x10,1 To 9,Jautisha,12,32,Inc.,G,
113,36/17,"???? ??????
graha nir?aya",,P,D,20.5x10,1 To 6,Jautisha,14,38,Inc ,G,
114,36/2,"????? ???? ?????
yamun? p?j? vidhi?",,PL,N.Na,24x5,17 To 21, pooja,8,42,C,G,From : Padmapurana
115,36/2,"???? ??????
j?taka paddhati",Kesava Daivajna,P,D,21.5x10.5,1 To 5,Jautisha,13,28,C,G,Saka: 1754 Year-1833 
116,36/3,"????????? ????
ana?tavrata? kalpa",,PL,N.Na,24x5,22 To 30,Vrata,8,42,C,G,
117,36/3,"??? ???????
s?ra sa?graha?",,P,D,21.5x10.5,1 To 18,Jautisha,13,28,Inc. ,G,
118,36/4,"???? ???????? ???? ???
ana?ta caturda?? vrata kath?",,PL,N.Na,24x5,31 To 36,Vrata-Katha,8,42,C ,G,From : Bhavisottara purana
119,36/4,"??? ???????
bh?va sa?graha?",,P,D,21.5x10.5,1 To 13,Jautisha,13,28,C,G,"Saka-1759, Year-1838, Hemalambi Sam, "
120,36/5,"???? ????????
tithi ci?t?ma?i",,P,D,21.5x10.5,1 To 20,Jautisha,13,28,C,G,
121,36/6,"?????? ????
brahma kalpa",,P,D,21.5x10.5,1 To 6,Jautisha,13,28,C,G,"Saka-1755, Year-1834, Vijaya Sam, "
122,36/7,"???? ???? ????
graha l?ghava ??k?",Pandita Manda Gupta,P,Tu,15.5x20,13.31,Jautisha,22,15,C,G,
123,36/8,"????????? ???????
sa?kr??ti prakara?a?",,P,D,21.5x10.5,1 To 8,Jautisha,11,32,C,G,"Saka-1690, Year-1769, Sarvadhani Sam, "
124,36/9,"??? ???? ????????
laghu tithi ci?t?ma?i",,P,D,21.5x10.5,1 To 35,Jautisha,11,32,Inc.,G,
125,37,"???? ????
graha l?ghava",,P,D,21.5x10.5,1 To 17,Jautisha,14,35,C,GO ,Saka 1629
126,37/1,"??????????? ???????
prat?parudra kaly??i",Vidyanatha,PL,N.Na,33x5,8 To 32,Nataka,9,55,Inc.,ODW,1-4 Ankas
127,37/2,"??????????? ???????
prat?parudra ya??bh??a?a",Vidyanatha,""" ",N.Na,33x5,39 To 145,Alankara,9,55,Inc.,ODW,
128,38,"???????
y?g?va?i",,P,D,20.5x10.5,1 To 12,Jautisha,10,25,C,G,
129,38/1,"??????? ????????
muh?rta ci?t?ma?i",,PL,N. Na,27.5x5,1 To 62,Jautisha,8,47,Inc.,O,
130,38/2,"??????? ?????
muh?rta darpa?a",Vidya Madhava,PL,N. Na,26.5x5 ,1 To 12,Jautisha,8,47,Inc.,O,
131,38/3,"?????? ?????
ari??a navan?ta",Navanita Ratnakavi,PL,TU,26.5x5 ,18 To 23,Shanti,8,47,C,O,
132,38/4,"????? ??????
sa?t?na d?pik?",,PL,N. Na,26.5x5 ,23 To 26 To 1,Jautisha,8,47,C,G,
133,38/5,"?????????
j?takala?k?ra",,PL,TU,26.5x5,27 To 13,Jautisha,8,47,C,GO,
134,38/6,"????? ???
g?c?ra ?la?",,PL,N. Na,26.5x5,63 To 64,Jautisha,8,47,C,OD,
135,38/7,"????? ????????
v?dapada st?tra?",,PL,N.Na,26.5x5,1 To 10,Stotra,8,45,C,O,
136,39,"??? ????? ???????
pa?ca pak?i pra?n?",,P,D,20.5x10,1 To 12,Jautisha,10,25,C,G,"Sa-1728, Year-1807, Ksaya Sam, "
137,39/1,"?????? ???????
pray?ga p?rij?ta",??????,PL,N.Na,29x4,1 To 171, G- Prayoga   ,7,43,C,G,"Pramodisam Asada Bhahulato11, Bhanuvara"
138,39/2,"???????? ????? ?????
??val?yana g?hya s?tra",????????,PL,N.Na,29x4,1 To 27,Grahyasutra,7,43,Inc.,OD,"I,II,III, Adhyaya "
139,40/1,"???????????? ?????
siddhivin?yaka vrata?",,PL,N.Na,23x4,1 To 6,Vrata,6,32,C,OD,
140,40/1,"???? ???????? ????
tithi ci?t?ma?i ??k?",,P,D,21.5x10,1 To 11,Jautisha,13,33,C,O,"Saka-1700, Year-1779 Vilambi Sam, "
141,40/10,"??? ????????
?iva st?tra?",Ravanesvara,PL,N.Na,23x4,29 To 1 To 30,Stotra,7,35,C,G,
142,40/12,"?????????
?iv???aka?",,PL,N.Na,23x4,32 To 33,Stotra,7,35,C,G ,
143,40/13,"??????????????
m?k??bik???aka?",,PL,N.Na,23x4,33 To 39 To 1,Stotra,7,35,C,G,
144,40/14,"???????????????
k?m?k?iy???aka?",,PL,N.Na,23x4,33 To 1 To 34,Stotra,7,35,C,G,
145,40/15,"??????????????
m?k??bik???aka?",,PL,N.Na,23x4,37 To 1 To 38,Stotra,7,35,C,G,
146,40/16,"?????????
?iv???aka?",,PL,N.Na,23x4,38 To 1,Stotra,7,35,C,G,
147,40/17,"???? ???????????
ma?ga?a gaur?y???aka?",,PL,N.Na,23x4,35 To 36,Stotra,7,35,C,G,
148,40/18,"?????????
r?m???aka?",,PL,N.Na,23x4,37 To 38,Stotra,7,35,C,G,
149,40/19,"???? ???
gaur? da?aka",,PL,N.Na,23x4,38 To 39,Stotra,7,35,C ,G,
150,40/2,"?????? ???? ???
vin?yaka vrata kath?",,PL,N.Na,23x4,7 To 13,Vrata-Katha,6,32,C ,OD,
151,40/2,"???? ??????
graha prabh?da",,P,D,21.5x10,1 To 27,Jautisha,13,33,C,O,Saka 1690 Year 1769 Sarvadhari Sam
152,40/20,"?????? ?????
durg? bhuja?ga",,PL,N.Na,23x4,39 To 1 To 41,Stotra,7,35,C,G,
153,40/21,"??????????????
m?k??bik???aka?",,PL,N.Na,23x4,42 To ,Stotra,7,35,C,G,
154,40/22,"????????????????????
k??ivi?v??var???aka?",,PL,N.Na,23x4,42 To 1 To 44,Stotra,7,35,C,G,
155,40/23,"??? ???????
apara pray?ga?",,PL,N.Na,23x4,1 To 26, G- Prayoga   ,7,35,Inc. ,GO,
156,40/24,"???? ?????
da??ha vidhi?",,PL,N.Na,23x4,72 To 73, G- Prayoga   ,7,35,C,G,
157,40/25,"?????????? ?????
v???tsarga vidhi?",,PL,N.Na,23x4,73 To 75 To 1, G- Prayoga   ,7,35,C,O,
158,40/26,"????? ???????? ?????
agni ?k?di??a vidhi?",,PL,N.Na,23x4,75 To 1 To 76, G- Prayoga   ,7,35,C,GO,
159,40/27,"???? ??????? ??????
???a?a ?r?ddha pray?ga",,PL,N.Na,23x4,76 To 77 To 1, G- Prayoga   ,7,35,C,GO,
160,40/28,"????????? ?????
sapi???kara?a vidhi?",,PL,N.Na,23x4,77 To 1 To 79, G- Prayoga   ,7,35,C,G,
161,40/29,"??? ???????
apara pray?ga?",?????? ????,PL,N.Na,23x4,79 To 79 To 1, G- Prayoga   ,7,35,Inc.,G,
162,40/3,"????????????
vin?yak???aka?",Sankaracarya,PL,N.Na,23x4,19 To ,Stotra,7,35,C,G,
163,40/3,"???? ??????
graha prabh?da",,“,D,21.5x5,onefolio,Jautisha,13,33,C,G,
164,40/30,"?????????? ?????
punasa?sk?ra vidhi?",,PL,N.Na,23x4,80 To 81, G- Prayoga   ,7,35,C,G,
165,40/31,"?? ??????? ?????
gha?a ?r?ddha vidhi?",,PL,N.Na,23x4,81 To 82, G- Prayoga   ,7,35,C,G,
166,40/32,"?????????? ?????
k?d?r??vara vrata?",,PL,N.Na,23x4,83 To 103,Vrata,7,35,C,G,From : Skandapurana
167,40/33,"?????????????? ?????
s?mav?ram?v?sy? vrata?",,PL,N.Na,23x4,105 To 111,Vrata,7,35,C,GO,
168,40/34,"?????????????? ???? ???
s?mav?ram?v?sy? vrata kath?",,PL,N.Na,23x4,112 To 1 To 123,Vrata-Katha,7,35,C,GO,""""
169,40/35,"????????? ?????
?ivar?tri vrata?",,PL,N.Na,23x4,123 To 1 To 130,Vrata,7,35,C,G,
170,40/36,"???????? ?????
s?lagr?ma lak?a?a",,PL,N.Na,23x4,131 To ,Tantra Mantragama,6,35,Inc.,GO,
171,40/4,"??????????????
b?lak??????aka?",,PL,N.Na,23x4,20 To 21,Stotra,7,35,C,G,
172,40/5,"??????????
??rad???aka?",,PL,N.Na,23x4,21 To 23,Stotra,7,35,C,G,
173,40/6,"????????????
muku?d???aka?",,PL,N.Na,23x4,23 To 25,Stotra,7,35,C,G,
174,40/7,"?????????
r?m???aka?",,PL,N.Na,23x4,25 To 26,Stotra,7,35,C,G,
175,40/8,"?????? ???????????
navaratna m?lik???aka?",,PL,N.Na,23x4,26,Stotra,7,35,C,G,
176,40/9,"???????????
k??????aka?",,PL,N.Na,23x4,27 To 28 To 1,Stotra,7,35,C,G,
177,41,"??????????? ????????
ha?haprad?pik? jy?sn?",,P,D,21.5x11,1 To 12,Yoga,16,41,Inc.,G,
178,41/1,"?????? ??????? ?????
vin?yaka caturth? vrata?",,PL,N.Na,18x5.5,1 To 8,Vrata,6,19,C,G,Scribe : Sankara Bhatta
179,41/2,"?????? ????
vin?yaka p?j?",,PL,N.Na,18x5.5,8 To 1 To 14, pooja,6,19,C,G,
180,41/3,"?????? ???? ???
vin?yaka vrata kath?",,PL,N.Na,18x5.5,15 To 24,Vrata-Katha,6,19,C,G,From : Skanda purana 
181,41/4,"?????????? ?????
svar?agaur? vrata?",,PL,N.Na,18x5.5,25 To 42,Vrata,6,19,C,G,
182,41/5,"?????????? ???? ???
svar?agaur? vrata kath?",,PL,N.Na,18x5.5,43 To 50,Vrata-Katha,6,28,C,G,
183,41/6,"????? ???? ?????
yamun? p?j? vidhi?",,PL,N.Na,18x5.5,51 To 64, pooja,6,28,C,G,
184,41/7,"????????? ????
ana?tavrata? kalpa",,PL,N.Na,18x5.5,65 To 75,Vrata,6,28,Inc.,O,
185,41/8,"???? ???????? ???? ???
ana?ta caturda?? vrata kath?",,PL,N.Na,18x5.5,76 To 88,Vrata-Katha,6,28,C,G,""""
186,42,"??????????
a?tarda?a?la?",,P,D,20.5x11,1 To 2,Jautisha,15,35,C,G,
187,42/1,"??????? ?????
pa?cagavya vidhi?",,PL,N.Na,29x5,1 To 15, G- Prayoga   ,6,45,C,G,
188,42/10,"????? ?????
rudra s?kta",,PL,N.Na,29x5,79 To 86,Veda - Mantra,6,45,C ,G,
189,42/11,"?????? ?????
r?tri s?kta",,PL,N.Na,29x5,86 To 1 To 89,Veda - Mantra,6,45,C,G,
190,42/12,"??????? ?????
suma?gal? s?kta",,PL,N.Na,29x5,90 To 94,Veda - Mantra,6,45,C,G,
191,42/13,"?? ?????
g? s?kta",,PL,N.Na,29x5,95,Veda - Mantra,6,45,C,G,
192,42/14,"????????? ?????
r?k??ghna s?kta",,PL,N.Na,29x5,96 To 101,Veda - Mantra,6,45,C,G,
193,42/15,"????? ?????
manyu s?kta",,PL,N.Na,29x5,102 To 103,Veda - Mantra,6,45,C,G,
194,42/16,"????? ??????? ?????
putra svik?ra vidhi?",????,PL,N.Na,29x5,104 To , G- Prayoga   ,8,50,C,G,
195,42/17,"?????? ???????
n?kabali pray?ga?",,PL,N.Na,29x5,105 To 107, G- Prayoga   ,8,50,C,G,
196,42/18,"?????? ???????
pray?ga p?rij?ta",??????,PL,N.Na,29x5,108 To 123, G- Prayoga   ,7,48,Inc.,GO,
197,42/19,"????? ?????
upav?ta lak?a?a",,PL,N.Na,29x5,125 To 126, G- Prayoga   ,7,50,Inc.,GO,
198,42/2,"????????? ??
m?tyu?jaya japa",,PL,N. Na,29x5,16 To 17,Tantra Mantragama,6,45,C,G,
199,42/20,"???? ?????
?r? s?kta",,PL,N.Na,29x5,127 To ,Veda - Mantra,7,50,Inc.,GO,
