SL.No,Ass.No,Subject,Author,Material,Script,Size,No.Folios,Sub,No. of lines in Pages,No.of letter per line ,Extent,Condition,Additional In fo
7600,2090,"?????? (?????)
pa?c??ga (manmatha)",,pl,TU,18x4.5,1&14,Jautisha,10,18,Inc,O/D,???? ?????????? ????
7601,2091,"????? ??????
mah?laya sa?kalpa",,pl,TU,15x5,1&8,Gruhya- Prayoga ,16,35,Inc,O/D,???? ????????? ????
7602,2092,"??????????
h?ra??stra",,pl,TU,18x4,24,Jautisha,7,20,Inc,O,???? ?????????? ????
7603,2093,"?????? (??????)
pa?c??ga (vila?bi)",,pl,TU,21x3.5,1&27,Jautisha,7,18,Inc,O/D,"???? ????? ????????????, ??????????, ????????"
7604,2094,"?????? (????)
pa?c??ga (vyaya)",,pl,TU,20x4,1&26,Jautisha,8,20,C   ,D,???? ????? ????????????
7605,2095,"?????? (??????)
pa?c??ga (vik?ri)",,pl,TU,21x4,1&21,Jautisha,6,30,Inc,O/D,???? ????? ????????????
7606,2096,"?????? (?????)
pa?c??ga (vijaya?)",,pl,TU,20x4.5,1&23,Jautisha,9,25,C   ,O/D,???? ????? ????????????
7607,2097,"?????? (????)
pa?c??ga (vi?u)",,pl,TU,19x4,1&23,Jautisha,9,30,Inc,O/D/W,???? ????? ????????????
7608,2098,"?????? (??????)
pa?c??ga (pramathi)",,pl,TU,21x3.5,1&24,Jautisha,8,40,Inc,O/D,???? ????? ????????????
7609,2099,"?????? (?????)
pa?c??ga (?ukla)",,pl,TU,18.5x4,1&22,Jautisha,9,25,C   ,O,???? ????? ????????????
7610,2100,"?????? (????????)
pa?c??ga (sarvajit)",,pl,TU,19x4.5,1&21,Jautisha,9,30,Inc,O/D/W,???? ????? ????????????
7611,2101,"?????? (???????)
pa?c??ga (durmati)",,pl,TU,20x4,1&16,Jautisha,7,25,Inc,O/D,
7612,2102,"?????? (??)
pa?c??ga (khara)",,pl ,TU,20x4.5,8,Jautisha,10,20,Inc,D,???? ????? ????????????
7613,2103,"?????? (????????)
pa?c??ga (sarvajit)",,pl,TU,19x4,1&20,Jautisha,9,30,Inc,D,???? ????? ????????????
7614,2104,"??????
pa?c??ga",,pl,TU,22x4,12,Jautisha,9,25,Inc,O/D/W,???? ????? ????????????
7615,2105,"?????? (?????????)
pa?c??ga (rakt?k?i)",,pl,TU,21x4,1&20,Jautisha,9,20,Inc,O/D,???? ????? ????????????
7616,2106,"?????? ????
pray?ga ratna",,pl,TU,31x5,1&54,Gruhya- Prayoga ,11,40,C   ,O/D/W,??. ??????? ????
7617,2107,"????? ???????
ta?tra samuccaya",,pl,TU,33.5x5,1&62,Tantra Mantra,10,50,C   ,O/D/W,????? ??????? ???????????.
7618,2108,"????? ???????
p?rva pray?ga?",,pl,TU,26x5,1&72,Gruhya- Prayoga ,9,35,C   ,G,??.???. ????
7619,2109/1,"?????? ????
pray?ga m?l?",,pl,TU,23x4,1&45,Gruhya- Prayoga ,8,35,Inc,G,"?, ?, ? ???."
7620,2109/2,"??????? ???
nak?atra ?la?",,pl,TU,23x4,48&54,Jautisha,8,35,Inc,G,
7621,2109/3,"???? ???
lagna ?la?",,pl,TU,23x4,55&58,Jautisha,8,35,Inc,G,
7622,2109/4,"???????
pra?n?",,pl,TU,23x4,1&3,Jautisha,8,35,Inc,G,
7623,2110,"????? ?????
agni ma?tra",,pl,TU,13x4,11,Vedamantra Sangraha,8,15,Inc,G/O,
7624,2111/1,"??????????? ?????
sarpasa?sk?ra vidhi?",,pl,TU,12x4,1&5,Gruhya- Prayoga ,11,20,C   ,G,
7625,2111/2,"???????
pray?ga?",,pl,TU,12x4,5&1&9,Gruhya- Prayoga ,11,20,C   ,G,
7626,2111/3,"?????? ?????
n?r?ya?a s?kta",,pl,TU,12x4,9&10,Vedamantra Sangraha,11,20,C   ,G,
7627,2111/4,"??? ????
n?ga p?j?",,pl,TU,12x4,10&1&12,Gruhya- Prayoga ,11,20,C   ,G,
7628,2111/5,"???????????? ?????
n?gaprati??h? vidhi?",,pl,TU,12x4,12&16,Gruhya- Prayoga ,11,20,C   ,G,
7629,2111/6,"??? ????
n?ga p?j?",,pl,TU,12x4,16&19,Pooja,11,20,C   ,G,
7630,2112,"??? ???????
apara pray?ga?",,pl,TU,36x5,1&46,Gruhya- Prayoga ,9,55,Inc,O/D/W,
7631,2113,"?????? (???????)
pa?c??ga (p?rthiva)",,pl,TU,19x4,1&26,Jautisha,7,25,C   ,G,
7632,2114,"??????
pa?c??ga",,pl,TU,20.5x4,19,Jautisha,6,25,Inc,O,
7633,2115,"???????
r?m?ya?a?",????????,pl,TU,52x6,1&200,Itihasa,12,95,???,O/D,
7634,2116/1,"?????????? 
muh?rtas?ra ",,pl,TU,50x5,1&24,Jautisha,11,95,Inc,G,
7635,2116/2,"??????? ?????? 
?r?ddha nir?aya ",,pl,TU,50x5,25&40,Gruhya- Prayoga ,10,90,Inc,G/O,
7636,2116/3,"?????? ????????
dv?da?a st?tra?",?????????,pl,TU,50x5,1&6,Stotra & Dvaita,10,90,C   ,G,
7637,2116/4,"???? ??????? ??????? 
n?ti ??stra samuccaya ",,pl,TU,50x5,7&12,Neeti Subhashita,10,90,C   ,G,
7638,2117/1,"?????? ????
pray?ga m?l?",?????????,pl,TU,33x5,1&131,Gruhya- Prayoga ,11,40,C   ,G,
7639,2117/2,"??????? ???????????? ????? 
a?vattha prati??h?pan? vidhi? ",,pl,TU,33x5,1&6,Gruhya- Prayoga ,11,40,C   ,G,
7640,2118/1,"???????? ?????????
navadurg? kala??rcane",,pl,TU,35x5,1&10,Pooja,11,45,C   ,G/O,???????:
7641,2118/10,"????????? ????????
k????m?ta mah?r?ava?",,pl,TU,35x5,27&33,Pooja,11,45,C   ,G,
7642,2118/11,"?????? 
g?tas?ra ",,pl,TU,35x5,34&36,Gita,11,45,C   ,G,
7643,2118/12,"???? ???????????? 
ana?ta vrat?dy?pana? ",,pl,TU,35x5,37&44,Vrata,11,45,C   ,G,???????????A
7644,2118/13,"??????? ????????? (?????????) 
k?rtika mah?tmya? (s?r?ddh?ra) ",?????,pl,TU,35x5,45,Mahatme,11,45,C   ,G,?&?? ??????
7645,2118/14,"?????? ???
s?mav?ra kath?",,pl,TU,35x5,1&7,Vrata Kata,16,100,Inc,O/D,????? ???? 
7646,2118/2,"??????? ???? ???????? 
g?yatr? h?daya mah?ma?tra ",,pl,TU,35x5,11&13,Stotra,11,45,C   ,G,
7647,2118/3,"??????? ???? 
g?yatr? kavaca? ",,pl,TU,35x5,14&15,Stotra,11,45,C   ,G,
7648,2118/4,"??????? ???? ????????
lak?m? h?daya st?tra?",,pl,TU,35x5,16&20,Stotra,11,45,C   ,G,
7649,2118/5,"????? ???? ????????
s?rya h?daya st?tra?",,pl,TU,35x5,21&30,Stotra,11,45,C   ,G,
7650,2118/6,"???????? ?????
??ipa?cam? vrata?",,pl,TU,35x5,30&38,Vrata,11,45,C   ,G,
7651,2118/7,"???????? ???? ???
??ipa?cam? vrata kath?",,pl,TU,35x5,38&41,Vrata Kate,11,45,C   ,G,?????????? 
7652,2118/8,"???????????? ???????? 
vi??um?rti udy?pana? ",,pl,TU,35x5,42&43,Vrata,11,35,C   ,G,?????? ??????
7653,2118/9,"?????????? ????? ??? 
dv?tri??a gr?ma kathana ",,pl,TU,35x5,1&26,««zsÀ,11,45,C   ,G,
7654,2119,"????????????????
k???ayarjusa?hit?",,pl,TU,33x5,1&222,Veda- Samhita,12,50,???,???,????? ??????? ???????????.
7655,2120,"?????? ????????
navaratna ci?t?ma?i",,pl,TU,19x5,1&107,Jautisha,9,30,C   ,G,??. ?????????? ???
7656,2121,"????? ???
pavam?na h?ma",,pl,TU,22x5,1&36,Gruhya- Prayoga ,11,40,C   ,G,
7657,2122,"????????????? ??????
k???ayajurv?da sa?hit?",,pl,TU,37x5,1&223,Veda Samhita,10,50,???,???,??. ?????????? ???
7658,2123/1,"?????? ????
pray?ga ratna",,pl,TU,25x4.5,1&56,Gruhya- Prayoga ,9,30,Inc,O/D/W,??. ?????????? ???
7659,2123/2,"????????? 
??rad?tilaka ",,pl,TU,25x4.5,54Folios,Tantra Mantra,9,30,Inc,O,???? ??????? ??????????.
